symbol,type,date,price,sentiment,ma,reason,shares,entry_date,entry_price,entry_sentiment,trade_return,portfolio_value
AAPL,BUY,2021-01-06,126.6,-10.387,121.8192,sentiment<-10,630,,,,,99840.40424200002
AAPL,SELL,2025-12-31,271.86,4.9629,272.6622,end,630,2021-01-06,126.85332659999996,-10.387,1.1388209448817095,191011.8319138
AMZN,BUY,2021-01-07,158.11,-12.2219,158.5884,sentiment<-10,504,,,,,99840.54543256
AMZN,SELL,2023-09-20,135.29,6.0373,135.44559999999998,>5&<MA,504,2021-01-07,158.42637811,-12.2219,-0.1477457422131305,88202.96129872
AMZN,BUY,2023-09-27,125.98,-13.224,134.9558,sentiment<-10,633,,,,,88043.39087338
AMZN,SELL,2024-06-18,182.81,5.5575,182.9432,>5&<MA,633,2023-09-27,126.23208597999998,-13.224,0.4453105277758481,123785.45913211002
AMZN,BUY,2024-07-19,183.13,-10.4938,187.6678,sentiment<-10,435,,,,,123626.05637056004
AMZN,SELL,2025-12-31,230.82,-9.3228,231.4368,end,435,2024-07-19,183.49644312999996,-10.4938,0.2553845016864989,144170.49337726005
GOOGL,BUY,2021-01-04,86.31,-5.6652,86.59020000000001,sentiment<-5,925,,,,,99840.24666325001
GOOGL,SELL,2025-12-31,313.0,14.6712,296.5994,end,925,2021-01-04,86.48270630999998,-5.6652,2.611985867790544,308949.73618825007
META,BUY,2021-01-06,263.31,-10.7727,275.7008,sentiment<-10,303,,,,,99840.35435707001
META,SELL,2024-05-10,476.2,6.1769,489.31519999999995,>5&<MA,303,2021-01-06,263.83688330999996,-10.7727,0.8012950662459067,164057.59144567
META,BUY,2024-07-17,461.99,-12.7842,491.76200000000006,sentiment<-10,283,,,,,163795.9743625
META,SELL,2025-09-02,735.11,5.6786,736.1406,>5&<MA,283,2024-07-17,462.91444198999994,-12.7842,0.5848296111829849,240673.07013863
META,BUY,2025-10-31,648.35,-10.9728,738.6002000000001,sentiment<-10,296,,,,,240289.05502703003
META,SELL,2025-12-31,660.09,-22.6782,653.8722,end,296,2025-10-31,649.6473483499999,-10.9728,0.014043206307501265,243373.51713367004
MSFT,BUY,2021-01-12,214.93,-12.8493,215.97220000000002,sentiment<-10,371,,,,,99840.44220097
MSFT,SELL,2025-12-31,483.62,-8.1991,496.50520000000006,end,371,2021-01-12,215.36007492999997,-12.8493,1.2411454108979123,199165.76558399003
NVDA,BUY,2021-01-12,13.48,-13.6649,13.2778,sentiment<-10,5922,,,,,99840.26305144001
NVDA,SELL,2023-09-11,45.18,12.755,45.1902,>10&<MA,5922,2021-01-12,13.506973479999997,-13.6649,2.3382522921781885,287032.81868739997
NVDA,BUY,2023-10-26,40.33,-11.221,44.757600000000004,sentiment<-10,5682,,,,,286574.27941234
NVDA,SELL,2024-05-02,85.82,12.0663,86.3028,>10&<MA,5682,2023-10-26,40.41070032999999,-11.221,1.119449678441146,544073.6885615799
NVDA,BUY,2024-07-30,103.73,-11.7273,119.37979999999999,sentiment<-10,4187,,,,,543204.61922407
NVDA,SELL,2024-08-29,117.59,16.718,120.2974,>10&<MA,4187,2024-07-30,103.93756372999998,-11.7273,0.1290907096384759,600252.2329133999
NVDA,BUY,2024-09-10,108.1,-11.7313,117.9516,sentiment<-10,4433,,,,,599293.3391061
NVDA,SELL,2025-09-02,170.78,19.7556,171.06059999999997,>10&<MA,4433,2024-09-10,108.31630809999997,-11.7313,0.5735267732966616,875640.4006938401
NVDA,BUY,2025-11-19,186.52,-11.0748,186.3698,sentiment<-10,3748,,,,,874241.5476968804
NVDA,SELL,2025-12-31,186.5,-4.0087,186.3574,end,3748,2025-11-19,186.89322651999996,-11.0748,-0.004098811039136225,872769.2826988803
TSLA,BUY,2021-05-03,228.3,-10.2762,228.043,sentiment<-10,349,,,,,99840.56692330002
TSLA,SELL,2021-12-31,352.26,13.5507,353.5022,>10&<MA,349,2021-05-03,228.75682829999994,-10.2762,0.5368102227705178,142856.85238204
TSLA,BUY,2022-01-27,276.37,-12.8378,346.39079999999996,sentiment<-10,412,,,,,142629.00963760001
TSLA,SELL,2023-09-21,255.7,10.0558,255.70759999999999,>10&<MA,412,2022-01-27,276.92301636999997,-12.8378,-0.07848448624783398,133902.37818600002
TSLA,BUY,2023-10-20,211.99,-11.1081,249.1134,sentiment<-10,504,,,,,133688.58542304003
TSLA,SELL,2025-01-29,389.1,11.4096,394.72860000000003,>10&<MA,504,2023-10-20,212.41419198999998,-11.1081,0.8281367429455065,222560.00872944004
TSLA,BUY,2025-02-27,281.95,-12.4171,392.1448,sentiment<-10,630,,,,,222204.57410094005
TSLA,SELL,2025-12-31,449.72,0.1909,445.10259999999994,end,630,2025-02-27,282.51418194999997,-12.4171,0.5886671834387182,327333.31022454007
