symbol,type,date,price,sentiment,ma,reason,shares,entry_date,entry_price,entry_sentiment,trade_return,portfolio_value
BABA,BUY,2021-01-04,227.85,-14.9153,269.8914,sentiment<-10,350,,,,,99840.42525250002
BABA,SELL,2025-12-31,146.58,-8.2097,159.5804,end,350,2021-01-04,228.30592784999993,-14.9153,-0.3592501607049269,71293.37055550003
COIN,BUY,2021-08-19,248.24,-27.1003,240.3224,sentiment<-10,321,,,,,99840.55023496001
COIN,SELL,2023-07-19,110.15,37.2101,67.2471,sentiment>30,321,2021-08-19,248.73672823999996,-27.1003,-0.5580475351274564,55442.97929311
COIN,BUY,2023-08-17,75.56,-11.4466,79.9442,sentiment<-10,732,,,,,55332.304143190006
COIN,SELL,2023-12-19,161.16,31.5432,104.06800000000001,sentiment>30,732,2023-08-17,75.71119556,-11.4466,1.1243600760806691,117755.68387231001
COIN,BUY,2024-05-16,199.17,-10.2274,235.0194,sentiment<-10,400,,,,,117596.26820431002
COIN,SELL,2025-07-17,410.75,30.7431,291.6128,sentiment>30,400,2024-05-16,199.56853916999995,-10.2274,1.0540758200409897,201899.83250431
COIN,BUY,2025-10-28,355.22,-10.0565,331.45660000000004,sentiment<-10,224,,,,,201740.61437503
COIN,SELL,2025-12-31,226.14,-34.155,280.6898,end,224,2025-10-28,355.93079521999994,-10.0565,-0.3659218332021458,172725.43431039003
HOOD,BUY,2021-12-03,21.55,-47.08,36.388600000000004,sentiment<-5,3704,,,,,99840.27777880001
HOOD,SELL,2025-02-25,45.92,23.7103,47.0606,>5&<MA,3704,2021-12-03,21.593121549999996,-47.08,1.1223520561342837,189766.75250648003
HOOD,BUY,2025-03-12,38.92,-8.2272,48.203,sentiment<-5,3892,,,,,189463.64774984005
HOOD,SELL,2025-09-02,100.84,36.0687,101.8338,>5&<MA,3892,2025-03-12,38.99787892,-8.2272,1.5806126801524005,429671.74165912
HOOD,BUY,2025-11-17,115.97,-5.7118,132.78040000000001,sentiment<-5,2958,,,,,428985.3200998601
HOOD,SELL,2025-12-11,123.38,6.8038,132.9724,>5&<MA,2958,2025-11-17,116.20205596999998,-5.7118,0.059648750206188095,450174.54897790006
HOOD,BUY,2025-12-17,115.8,-8.0863,130.69899999999998,sentiment<-5,3103,,,,,449455.5348505001
HOOD,SELL,2025-12-31,113.1,-21.95,127.028,end,3103,2025-12-17,116.03171579999997,-8.0863,-0.027214996160558173,440375.8871998001
UBER,BUY,2021-03-24,52.57,-7.3063,56.2486,sentiment<-5,1518,,,,,99840.31767874
UBER,SELL,2022-09-22,28.58,8.4825,28.6056,>5&<MA,1518,2021-03-24,52.67519256999999,-7.3063,-0.45851420396620296,63336.77218318
UBER,BUY,2022-09-29,26.42,-7.2935,29.1066,sentiment<-5,1914,,,,,63235.585855300014
UBER,SELL,2025-12-31,81.71,-26.9967,88.5024,end,1914,2022-09-29,26.472866419999995,-7.2935,2.080386551884396,168748.01636824
