buy_threshold,and_sell_threshold,or_sell_threshold,y2021,y2022,y2023,y2024,y2025,avg_return,cumulative,positive_years
0,20,40,100.02872368179969,-31.727764612350096,196.765867502915,11.618444912359926,28.709603665499884,61.07897503004487,482.2337233248396,4
0,20,35,100.02872368179969,-31.727764612350096,196.765867502915,11.618444912359926,28.709603665499884,61.07897503004487,482.2337233248396,4
0,15,40,100.02872368179969,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,60.17150915289342,434.3213341686337,4
0,15,35,100.02872368179969,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,60.17150915289342,434.3213341686337,4
0,20,30,100.02872368179969,-31.727764612350096,129.42562472153986,11.618444912359926,28.709603665499884,47.61092647376985,350.1169114619875,4
0,15,30,100.02872368179969,-31.727764612350096,129.42562472153986,0.06873234874003042,28.709603665499884,45.30098396104587,303.5410883398126,4
0,5,35,44.49359950737981,-31.727764612350096,203.7782506807776,0.06873234874003042,25.43531681885991,48.409626948681456,276.15569296539496,4
0,5,40,44.49359950737981,-31.727764612350096,203.7782506807776,0.06873234874003042,25.43531681885991,48.409626948681456,276.15569296539496,4
0,10,40,36.289758362759805,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,47.423716089085445,264.0603418424777,4
0,10,35,36.289758362759805,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,47.423716089085445,264.0603418424777,4
0,20,25,100.02872368179969,-31.727764612350096,61.460657228645445,11.618444912359926,35.8654161057399,35.449095463238976,234.38600558724573,4
0,0,35,4.649959524379965,-17.40401785925997,203.7782506807776,0.06873234874003042,25.066216129019956,43.23182816473152,228.61930439939073,4
0,0,40,4.649959524379965,-17.40401785925997,203.7782506807776,0.06873234874003042,25.066216129019956,43.23182816473152,228.61930439939073,4
0,15,25,100.02872368179969,-31.727764612350096,61.460657228645445,0.06873234874003042,35.8654161057399,33.139152950515,199.78543170483698,4
0,5,30,44.49359950737981,-31.727764612350096,129.42562472153986,0.06873234874003042,25.43531681885991,33.53910175683391,184.0879972735005,4
0,10,30,36.289758362759805,-31.727764612350096,129.42562472153986,0.06873234874003042,28.709603665499884,32.5531908972379,174.95309876979633,4
0,0,30,4.649959524379965,-17.40401785925997,129.42562472153986,0.06873234874003042,25.066216129019956,28.36130297288397,148.1865934721403,4
0,20,20,46.43527684859985,-31.727764612350096,50.789881307260096,11.618444912359926,28.658585854379993,21.154884862049954,116.48946937628173,4
0,5,25,44.49359950737981,-31.727764612350096,61.460657228645445,0.06873234874003042,32.40724720792989,21.340494336069014,111.04234485966512,4
0,10,25,36.289758362759805,-31.727764612350096,61.460657228645445,0.06873234874003042,35.8654161057399,20.391359886707015,104.25908487384626,4
0,5,20,55.331610927099796,-31.727764612350096,50.789881307260096,0.06873234874003042,25.38429900774004,19.96935179569797,100.64009419618603,4
0,10,20,46.43527684859985,-31.727764612350096,50.789881307260096,0.06873234874003042,28.658585854379993,18.844942349325972,94.0882332158076,4
0,15,20,46.43527684859985,-31.727764612350096,50.789881307260096,0.06873234874003042,28.658585854379993,18.844942349325972,94.0882332158076,4
0,0,25,4.649959524379965,-17.40401785925997,61.460657228645445,0.06873234874003042,32.01741803731994,16.158549855965084,84.37173191464979,4
-10,0,25,0.0,1.9916933863100228,0.0,14.743591093440077,48.737120374970246,13.094480970944067,74.06546288002085,3
-20,0,25,0.0,-2.0939246778499787,0.0,0.0,70.60049650188016,13.701314364806034,67.0282506050927,1
-10,0,40,0.0,1.9916933863100228,0.0,14.743591093440077,40.78389072581021,11.503835041112062,64.75788319324136,3
-10,0,35,0.0,1.9916933863100228,0.0,14.743591093440077,40.78389072581021,11.503835041112062,64.75788319324136,3
-10,0,30,0.0,1.9916933863100228,0.0,14.743591093440077,40.78389072581021,11.503835041112062,64.75788319324136,3
-10,0,20,0.0,1.9916933863100228,0.0,14.743591093440077,40.72728410909014,11.492513717768048,64.69163707447416,3
0,0,20,4.649959524379965,-17.40401785925997,50.789881307260096,0.06873234874003042,25.015198317899955,12.623950727804015,63.05397781342518,4
-20,0,30,0.0,-2.0939246778499787,0.0,0.0,61.30116310392011,11.841447685214026,57.9236382440281,1
-20,0,35,0.0,-2.0939246778499787,0.0,0.0,61.30116310392011,11.841447685214026,57.9236382440281,1
-20,0,40,0.0,-2.0939246778499787,0.0,0.0,61.30116310392011,11.841447685214026,57.9236382440281,1
-20,0,20,0.0,-2.0939246778499787,0.0,0.0,61.234975677600126,11.82821019995003,57.85883673256146,1
-20,10,25,0.0,-9.865994207149953,0.0,0.0,70.60049650188016,12.14690045894604,53.7690613996356,1
-20,20,25,0.0,-9.865994207149953,0.0,0.0,70.60049650188016,12.14690045894604,53.7690613996356,1
-20,5,25,0.0,-9.865994207149953,0.0,0.0,70.60049650188016,12.14690045894604,53.7690613996356,1
-20,15,25,0.0,-9.865994207149953,0.0,0.0,70.60049650188016,12.14690045894604,53.7690613996356,1
-15,0,25,0.0,1.7898348030000122,0.0,0.0,45.32233693319978,9.422434347239959,47.92336669616313,2
-5,0,25,0.0,-8.58170885793993,0.0,9.878591338440001,45.08405771467008,9.27618803903403,45.73567451575738,2
-20,10,30,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,10,35,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,10,40,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,5,40,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,15,30,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,15,35,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,15,40,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,5,35,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,20,30,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,20,35,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,20,40,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,5,30,0.0,-9.865994207149953,0.0,0.0,61.30116310392011,10.287033779354031,45.38719969602184,1
-20,5,20,0.0,-9.865994207149953,0.0,0.0,61.234975677600126,10.273796294090035,45.327542317348446,1
-20,20,20,0.0,-9.865994207149953,0.0,0.0,61.234975677600126,10.273796294090035,45.327542317348446,1
-20,15,20,0.0,-9.865994207149953,0.0,0.0,61.234975677600126,10.273796294090035,45.327542317348446,1
-20,10,20,0.0,-9.865994207149953,0.0,0.0,61.234975677600126,10.273796294090035,45.327542317348446,1
-15,0,40,0.0,1.7898348030000122,0.0,0.0,37.58224037759983,7.874415036119968,40.04473519862523,2
-15,0,35,0.0,1.7898348030000122,0.0,0.0,37.58224037759983,7.874415036119968,40.04473519862523,2
-15,0,30,0.0,1.7898348030000122,0.0,0.0,37.58224037759983,7.874415036119968,40.04473519862523,2
-15,0,20,0.0,1.7898348030000122,0.0,0.0,37.52715072239978,7.863397105079959,39.98865952960358,2
-10,20,25,0.0,-26.855750865479987,0.0,28.427121520720156,48.737120374970246,10.061698206042085,39.71926867031155,2
-5,0,40,0.0,-8.58170885793993,0.0,9.878591338440001,37.35517869031006,7.730412234162027,37.97208273587361,2
-5,0,30,0.0,-8.58170885793993,0.0,9.878591338440001,37.35517869031006,7.730412234162027,37.97208273587361,2
-5,0,35,0.0,-8.58170885793993,0.0,9.878591338440001,37.35517869031006,7.730412234162027,37.97208273587361,2
-5,0,20,0.0,-8.58170885793993,0.0,9.878591338440001,37.30016887519003,7.719410271138021,37.91682585487797,2
-10,20,35,0.0,-26.855750865479987,0.0,28.427121520720156,40.78389072581021,8.471052276210077,32.24823906219311,2
-10,20,30,0.0,-26.855750865479987,0.0,28.427121520720156,40.78389072581021,8.471052276210077,32.24823906219311,2
-10,20,40,0.0,-26.855750865479987,0.0,28.427121520720156,40.78389072581021,8.471052276210077,32.24823906219311,2
-10,20,20,0.0,-26.855750865479987,0.0,28.427121520720156,40.72728410909014,8.459730952866062,32.195064474234925,2
-10,15,25,0.0,-26.855750865479987,0.0,14.743591093440077,48.737120374970246,7.324992120586067,24.832593320984557,2
-10,5,25,0.0,-26.855750865479987,0.0,14.743591093440077,48.737120374970246,7.324992120586067,24.832593320984557,2
-10,10,25,0.0,-26.855750865479987,0.0,14.743591093440077,48.737120374970246,7.324992120586067,24.832593320984557,2
-5,20,25,0.0,-30.110323962029927,0.0,22.850849144500017,45.08405771467008,7.564916579428035,24.569259696281563,2
-15,20,25,0.0,-16.68767182596007,0.0,0.0,45.32233693319978,5.726933021447942,21.071422255971427,1
-15,5,25,0.0,-16.68767182596007,0.0,0.0,45.32233693319978,5.726933021447942,21.071422255971427,1
-15,10,25,0.0,-16.68767182596007,0.0,0.0,45.32233693319978,5.726933021447942,21.071422255971427,1
-15,15,25,0.0,-16.68767182596007,0.0,0.0,45.32233693319978,5.726933021447942,21.071422255971427,1
-10,15,30,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,15,35,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
-10,15,40,0.0,-26.855750865479987,0.0,14.743591093440077,40.78389072581021,5.73434619075406,18.157579848362104,2
