type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-16,4.91,5081,24997.630367709997,3.5336,Level 1/4: sentiment 3.5 < 5,1.0,W2020,NVDA,
BUY,2020-03-23,5.32,4689,24995.395905479996,-0.0819,Level 2/4: sentiment -0.1 < 0,2.0,W2020,NVDA,
BUY,2021-03-08,11.59,3833,44513.36336446999,-6.6521,Level 3/4: sentiment -6.7 < -5,3.0,W2021,NVDA,
SELL,2023-05-25,37.98,13603,515609.17276193993,50.9472,OR: sentiment 50.9 > 50,,W2023,NVDA,445.58128264004085
BUY,2023-10-25,41.78,3111,130237.66513757997,4.2554,Level 1/4: sentiment 4.3 < 5,1.0,W2023,NVDA,
BUY,2023-10-27,40.5,3210,130265.14000499998,-1.1602,Level 2/4: sentiment -1.2 < 0,2.0,W2023,NVDA,
SELL,2024-08-29,117.59,6321,741800.56050639,31.2653,AND+slope: sentiment 31.3 > 25 & price < MA50 & MA50_slope -0.52 < 0,,W2024,NVDA,184.7572255893303
BUY,2024-09-10,108.1,2313,250535.62063529994,4.282,Level 1/4: sentiment 4.3 < 5,1.0,W2024,NVDA,
BUY,2025-02-27,120.15,2225,267868.68483374995,-1.1596,Level 2/4: sentiment -1.2 < 0,2.0,W2025,NVDA,
BUY,2025-03-03,114.06,2344,267891.62063663994,-7.6949,Level 3/4: sentiment -7.7 < -5,3.0,W2025,NVDA,
BUY,2020-03-18,24.08,1036,24996.798706879992,4.3583,Level 1/4: sentiment 4.4 < 5,1.0,W2020,TSLA,
BUY,2020-03-20,28.5,875,24987.399937499995,-1.6713,Level 2/4: sentiment -1.7 < 0,2.0,W2020,TSLA,
SELL,2020-04-08,36.59,1911,69783.71294349001,15.9048,AND+slope: sentiment 15.9 > 15 & price < MA50 & MA50_slope -0.38 < 0,,W2020,TSLA,39.6115469210112
BUY,2021-04-29,225.67,132,29848.04666843999,3.8068,Level 1/4: sentiment 3.8 < 5,1.0,W2021,TSLA,
BUY,2021-05-05,223.65,133,29804.970645449994,-1.2586,Level 2/4: sentiment -1.3 < 0,2.0,W2021,TSLA,
BUY,2021-05-10,209.68,142,29834.138894559994,-8.3158,Level 3/4: sentiment -8.3 < -5,3.0,W2021,TSLA,
BUY,2021-05-11,205.73,145,29890.54153084999,-10.0923,Level 4/4: sentiment -10.1 < -10,4.0,W2021,TSLA,
SELL,2022-01-13,343.85,552,189425.77940520004,20.0491,AND+slope: sentiment 20.0 > 20 & price < MA50 & MA50_slope -2.15 < 0,,W2022,TSLA,58.677695241596
BUY,2022-01-27,276.37,171,47353.83579927,2.2465,Level 1/4: sentiment 2.2 < 5,1.0,W2022,TSLA,
BUY,2022-01-28,282.12,167,47208.31519403999,-0.1286,Level 2/4: sentiment -0.1 < 0,2.0,W2022,TSLA,
BUY,2022-02-23,254.68,185,47210.07871579999,-7.4098,Level 3/4: sentiment -7.4 < -5,3.0,W2022,TSLA,
BUY,2022-03-14,255.46,185,47354.66746009999,-11.0044,Level 4/4: sentiment -11.0 < -10,4.0,W2022,TSLA,
SELL,2023-09-01,245.01,708,173120.31930708,20.47,AND+slope: sentiment 20.5 > 20 & price < MA50 & MA50_slope -1.18 < 0,,W2023,TSLA,-8.46340636985601
BUY,2023-10-19,220.11,197,43448.43670166999,2.2362,Level 1/4: sentiment 2.2 < 5,1.0,W2023,TSLA,
BUY,2023-10-20,211.99,204,43332.49516596,-2.5532,Level 2/4: sentiment -2.6 < 0,2.0,W2023,TSLA,
BUY,2023-10-23,212.08,204,43350.89190431999,-6.1614,Level 3/4: sentiment -6.2 < -5,3.0,W2023,TSLA,
BUY,2023-10-25,212.42,204,43420.39069367999,-12.5749,Level 4/4: sentiment -12.6 < -10,4.0,W2023,TSLA,
SELL,2024-12-12,418.1,809,337566.75244290003,52.3373,OR: sentiment 52.3 > 50,,W2024,TSLA,94.50443400118718
BUY,2025-02-26,290.8,289,84209.36644119999,1.75,Level 1/4: sentiment 1.8 < 5,1.0,W2025,TSLA,
BUY,2025-02-27,281.95,298,84189.22622109999,-2.2972,Level 2/4: sentiment -2.3 < 0,2.0,W2025,TSLA,
BUY,2025-03-06,263.45,319,84208.71514054998,-6.4912,Level 3/4: sentiment -6.5 < -5,3.0,W2025,TSLA,
BUY,2025-03-10,222.15,379,84363.32389484998,-14.2267,Level 4/4: sentiment -14.2 < -10,4.0,W2025,TSLA,
BUY,2020-03-11,68.86,362,24977.19956731999,4.946,Level 1/4: sentiment 4.9 < 5,1.0,W2020,AAPL,
BUY,2020-03-16,60.55,412,24996.518146599992,-1.6238,Level 2/4: sentiment -1.6 < 0,2.0,W2020,AAPL,
BUY,2020-03-20,57.31,435,24979.734629849998,-7.0042,Level 3/4: sentiment -7.0 < -5,3.0,W2020,AAPL,
SELL,2020-08-06,113.9,1209,137429.8275051,40.7535,OR: sentiment 40.8 > 40,,W2020,AAPL,83.35356572341122
BUY,2020-10-30,108.86,372,40576.952335919996,4.4098,Level 1/4: sentiment 4.4 < 5,1.0,W2020,AAPL,
BUY,2021-01-11,128.98,328,42390.09318543999,-0.8286,Level 2/4: sentiment -0.8 < 0,2.0,W2021,AAPL,
BUY,2021-05-06,129.74,327,42509.87238497999,-5.9769,Level 3/4: sentiment -6.0 < -5,3.0,W2021,AAPL,
BUY,2020-02-28,162.01,154,24999.46402953999,4.9826,Level 1/4: sentiment 5.0 < 5,1.0,W2020,MSFT,
BUY,2020-03-12,139.06,179,24941.54837173999,-2.0317,Level 2/4: sentiment -2.0 < 0,2.0,W2020,MSFT,
BUY,2020-03-20,137.35,181,24910.095560349997,-5.7834,Level 3/4: sentiment -5.8 < -5,3.0,W2020,MSFT,
BUY,2020-01-02,68.43,364,24958.361948519996,3.1412,Level 1/4: sentiment 3.1 < 5,1.0,W2020,GOOGL,
BUY,2020-03-05,65.74,379,24965.31583545999,-0.0012,Level 2/4: sentiment -0.0 < 0,2.0,W2020,GOOGL,
BUY,2020-03-12,55.58,448,24949.66457983999,-5.75,Level 3/4: sentiment -5.8 < -5,3.0,W2020,GOOGL,
SELL,2025-09-04,232.3,1191,276116.2380693,30.3181,OR: sentiment 30.3 > 30,,W2025,GOOGL,268.7777643578576
BUY,2020-01-15,93.1,267,24907.440257699996,3.2624,Level 1/4: sentiment 3.3 < 5,1.0,W2020,AMZN,
BUY,2020-01-27,91.42,272,24915.997346239994,-1.4957,Level 2/4: sentiment -1.5 < 0,2.0,W2020,AMZN,
BUY,2021-01-11,155.71,218,34012.70350477999,-5.6017,Level 3/4: sentiment -5.6 < -5,3.0,W2021,AMZN,
BUY,2020-02-27,189.75,131,24906.989357249993,1.6872,Level 1/4: sentiment 1.7 < 5,1.0,W2020,META,
BUY,2020-03-06,181.09,137,24858.973469329994,-1.631,Level 2/4: sentiment -1.6 < 0,2.0,W2020,META,
BUY,2020-03-12,154.47,161,24919.434209669995,-8.4704,Level 3/4: sentiment -8.5 < -5,3.0,W2020,META,
BUY,2020-03-16,146.01,170,24871.36822169999,-10.3607,Level 4/4: sentiment -10.4 < -10,4.0,W2020,META,
SELL,2020-09-02,302.5,599,180835.2861975,31.1363,OR: sentiment 31.1 > 30,,W2020,META,81.64037946487987
BUY,2020-09-18,252.53,179,45293.32094286999,4.1421,Level 1/4: sentiment 4.1 < 5,1.0,W2020,META,
BUY,2020-09-24,249.53,181,45255.30502492999,-0.3463,Level 2/4: sentiment -0.3 < 0,2.0,W2020,META,
BUY,2021-01-11,256.84,182,46838.416504879984,-5.1893,Level 3/4: sentiment -5.2 < -5,3.0,W2021,META,
BUY,2023-01-03,124.74,223,27872.681857019994,-13.8054,Level 4/4: sentiment -13.8 < -10,4.0,W2023,META,
SELL,2023-03-14,194.02,765,148128.5978253,34.1271,OR: sentiment 34.1 > 30,,W2023,META,-10.366183638442136
BUY,2023-10-26,288.35,142,41027.632345699996,2.159,Level 1/4: sentiment 2.2 < 5,1.0,W2023,META,
BUY,2023-10-30,302.66,135,40940.859059099996,-1.2782,Level 2/4: sentiment -1.3 < 0,2.0,W2023,META,
SELL,2024-05-07,468.24,277,129443.20474248001,15.0186,AND+slope: sentiment 15.0 > 15 & price < MA50 & MA50_slope -2.50 < 0,,W2024,META,57.918247028882064
BUY,2024-07-15,496.16,106,52698.198512959985,4.5795,Level 1/4: sentiment 4.6 < 5,1.0,W2024,META,
BUY,2024-07-17,461.99,114,52772.246386859995,-3.1961,Level 2/4: sentiment -3.2 < 0,2.0,W2024,META,
BUY,2024-07-19,476.79,110,52551.846246899986,-5.177,Level 3/4: sentiment -5.2 < -5,3.0,W2024,META,
BUY,2024-07-24,461.27,114,52690.00214477999,-10.8712,Level 4/4: sentiment -10.9 < -10,4.0,W2024,META,
