type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-16,4.91,5081,24997.630367709997,3.5336,Level 1/4: sentiment 3.5 < 5,1.0,W2020,NVDA,
BUY,2020-03-23,5.32,4689,24995.395905479996,-0.0819,Level 2/4: sentiment -0.1 < 0,2.0,W2020,NVDA,
BUY,2021-03-08,11.59,3833,44513.36336446999,-6.6521,Level 3/4: sentiment -6.7 < -5,3.0,W2021,NVDA,
SELL,2021-08-18,19.04,13603,258483.37676112,19.8377,AND: sentiment 19.8 > 15 & price < MA50,,W2021,NVDA,173.50888945409108
BUY,2022-01-13,26.58,2477,65970.40315865997,4.7096,Level 1/4: sentiment 4.7 < 5,1.0,W2022,NVDA,
BUY,2022-01-19,25.07,2627,65990.67363888999,-0.2385,Level 2/4: sentiment -0.2 < 0,2.0,W2022,NVDA,
BUY,2022-01-21,23.37,2818,65988.43917665999,-6.1984,Level 3/4: sentiment -6.2 < -5,3.0,W2022,NVDA,
BUY,2022-04-11,21.92,3004,65979.44120767999,-12.3116,Level 4/4: sentiment -12.3 < -10,4.0,W2022,NVDA,
SELL,2023-05-25,37.98,10926,414139.95600947994,50.9472,OR: sentiment 50.9 > 50,,W2023,NVDA,56.91342110826827
BUY,2023-10-25,41.78,2473,103528.68720193997,4.2554,Level 1/4: sentiment 4.3 < 5,1.0,W2023,NVDA,
BUY,2023-10-27,40.5,2551,103522.23431549998,-1.1602,Level 2/4: sentiment -1.2 < 0,2.0,W2023,NVDA,
SELL,2024-05-01,83.04,5024,416358.99127296003,26.4209,AND: sentiment 26.4 > 25 & price < MA50,,W2024,NVDA,101.09014160455693
BUY,2024-07-30,103.73,1499,155802.40803126997,1.2668,Level 1/4: sentiment 1.3 < 5,1.0,W2024,NVDA,
BUY,2024-08-07,98.91,1572,155797.64852651997,-0.4428,Level 2/4: sentiment -0.4 < 0,2.0,W2024,NVDA,
SELL,2024-08-29,117.59,3071,360397.01333889,31.2653,AND: sentiment 31.3 > 25 & price < MA50,,W2024,NVDA,15.660124494248961
BUY,2024-09-10,108.1,1551,167998.59386309996,4.282,Level 1/4: sentiment 4.3 < 5,1.0,W2024,NVDA,
BUY,2025-02-27,120.15,1492,179622.50686379996,-1.1596,Level 2/4: sentiment -1.2 < 0,2.0,W2025,NVDA,
BUY,2025-03-03,114.06,1572,179661.10394231995,-7.6949,Level 3/4: sentiment -7.7 < -5,3.0,W2025,NVDA,
SELL,2025-09-02,170.78,4615,786574.1887497,33.4825,AND: sentiment 33.5 > 25 & price < MA50,,W2025,NVDA,49.17518205325018
BUY,2025-11-14,190.17,1222,232852.74786773993,4.8269,Level 1/4: sentiment 4.8 < 5,1.0,W2025,NVDA,
BUY,2025-12-17,170.94,1359,232772.30722745994,-0.6604,Level 2/4: sentiment -0.7 < 0,2.0,W2025,NVDA,
BUY,2020-03-18,24.08,1036,24996.798706879992,4.3583,Level 1/4: sentiment 4.4 < 5,1.0,W2020,TSLA,
BUY,2020-03-20,28.5,875,24987.399937499995,-1.6713,Level 2/4: sentiment -1.7 < 0,2.0,W2020,TSLA,
SELL,2020-04-08,36.59,1911,69783.71294349001,15.9048,AND: sentiment 15.9 > 15 & price < MA50,,W2020,TSLA,39.6115469210112
BUY,2021-04-29,225.67,132,29848.04666843999,3.8068,Level 1/4: sentiment 3.8 < 5,1.0,W2021,TSLA,
BUY,2021-05-05,223.65,133,29804.970645449994,-1.2586,Level 2/4: sentiment -1.3 < 0,2.0,W2021,TSLA,
BUY,2021-05-10,209.68,142,29834.138894559994,-8.3158,Level 3/4: sentiment -8.3 < -5,3.0,W2021,TSLA,
BUY,2021-05-11,205.73,145,29890.54153084999,-10.0923,Level 4/4: sentiment -10.1 < -10,4.0,W2021,TSLA,
SELL,2021-12-31,352.26,552,194058.81940752,26.9072,AND: sentiment 26.9 > 25 & price < MA50,,W2021,TSLA,62.55868816578333
BUY,2022-01-27,276.37,175,48461.527864749994,2.2465,Level 1/4: sentiment 2.2 < 5,1.0,W2022,TSLA,
BUY,2022-01-28,282.12,171,48339.05328251999,-0.1286,Level 2/4: sentiment -0.1 < 0,2.0,W2022,TSLA,
BUY,2022-02-23,254.68,190,48486.02678919999,-7.4098,Level 3/4: sentiment -7.4 < -5,3.0,W2022,TSLA,
BUY,2022-03-14,255.46,189,48378.552161939995,-11.0044,Level 4/4: sentiment -11.0 < -10,4.0,W2022,TSLA,
SELL,2023-09-01,245.01,725,177277.16313225,20.47,AND: sentiment 20.5 > 20 & price < MA50,,W2023,TSLA,-8.462026395368436
BUY,2023-10-19,220.11,201,44330.63846210999,2.2362,Level 1/4: sentiment 2.2 < 5,1.0,W2023,TSLA,
BUY,2023-10-20,211.99,209,44394.566125909994,-2.5532,Level 2/4: sentiment -2.6 < 0,2.0,W2023,TSLA,
BUY,2023-10-23,212.08,209,44413.41376472,-6.1614,Level 3/4: sentiment -6.2 < -5,3.0,W2023,TSLA,
BUY,2023-10-25,212.42,209,44484.61595577999,-12.5749,Level 4/4: sentiment -12.6 < -10,4.0,W2023,TSLA,
SELL,2024-12-12,418.1,828,345494.77258680004,52.3373,OR: sentiment 52.3 > 50,,W2024,TSLA,94.5098983991577
BUY,2025-02-26,290.8,296,86249.03967679999,1.75,Level 1/4: sentiment 1.8 < 5,1.0,W2025,TSLA,
BUY,2025-02-27,281.95,306,86449.3396767,-2.2972,Level 2/4: sentiment -2.3 < 0,2.0,W2025,TSLA,
BUY,2025-03-06,263.45,327,86320.53244814997,-6.4912,Level 3/4: sentiment -6.5 < -5,3.0,W2025,TSLA,
BUY,2025-03-10,222.15,388,86366.67459419998,-14.2267,Level 4/4: sentiment -14.2 < -10,4.0,W2025,TSLA,
BUY,2020-03-11,68.86,362,24977.19956731999,4.946,Level 1/4: sentiment 4.9 < 5,1.0,W2020,AAPL,
BUY,2020-03-16,60.55,412,24996.518146599992,-1.6238,Level 2/4: sentiment -1.6 < 0,2.0,W2020,AAPL,
BUY,2020-03-20,57.31,435,24979.734629849998,-7.0042,Level 3/4: sentiment -7.0 < -5,3.0,W2020,AAPL,
SELL,2020-08-06,113.9,1209,137429.8275051,40.7535,OR: sentiment 40.8 > 40,,W2020,AAPL,83.35356572341122
BUY,2020-10-30,108.86,372,40576.952335919996,4.4098,Level 1/4: sentiment 4.4 < 5,1.0,W2020,AAPL,
BUY,2021-01-11,128.98,328,42390.09318543999,-0.8286,Level 2/4: sentiment -0.8 < 0,2.0,W2021,AAPL,
BUY,2021-05-06,129.74,327,42509.87238497999,-5.9769,Level 3/4: sentiment -6.0 < -5,3.0,W2021,AAPL,
SELL,2024-09-04,220.85,1027,226359.55091294998,17.979,AND: sentiment 18.0 > 15 & price < MA50,,W2024,AAPL,80.39935526780475
BUY,2024-10-03,225.67,291,65801.37560996998,4.9235,Level 1/4: sentiment 4.9 < 5,1.0,W2024,AAPL,
BUY,2024-11-12,224.23,293,65830.85447938998,-0.1455,Level 2/4: sentiment -0.1 < 0,2.0,W2024,AAPL,
SELL,2025-01-10,236.85,584,138043.8975204,10.7675,AND: sentiment 10.8 > 10 & price < MA50,,W2025,AAPL,4.870894785180947
BUY,2025-01-16,228.26,294,67242.72398843999,2.4152,Level 1/4: sentiment 2.4 < 5,1.0,W2025,AAPL,
BUY,2025-01-21,222.64,302,67371.82179727999,-1.0715,Level 2/4: sentiment -1.1 < 0,2.0,W2025,AAPL,
BUY,2025-03-12,216.98,310,67398.39486379999,-5.4216,Level 3/4: sentiment -5.4 < -5,3.0,W2025,AAPL,
BUY,2025-04-08,172.42,390,67378.35484379999,-12.4361,Level 4/4: sentiment -12.4 < -10,4.0,W2025,AAPL,
SELL,2025-12-31,271.86,1296,351626.25121056003,11.4822,AND: sentiment 11.5 > 10 & price < MA50,,W2025,AAPL,30.52621116307717
BUY,2020-02-28,162.01,154,24999.46402953999,4.9826,Level 1/4: sentiment 5.0 < 5,1.0,W2020,MSFT,
BUY,2020-03-12,139.06,179,24941.54837173999,-2.0317,Level 2/4: sentiment -2.0 < 0,2.0,W2020,MSFT,
BUY,2020-03-20,137.35,181,24910.095560349997,-5.7834,Level 3/4: sentiment -5.8 < -5,3.0,W2020,MSFT,
BUY,2020-01-02,68.43,364,24958.361948519996,3.1412,Level 1/4: sentiment 3.1 < 5,1.0,W2020,GOOGL,
SELL,2020-02-24,70.99,364,25788.705120360002,15.1767,AND: sentiment 15.2 > 15 & price < MA50,,W2020,GOOGL,3.3269137355756753
BUY,2020-02-27,65.75,382,25166.758116499997,3.2847,Level 1/4: sentiment 3.3 < 5,1.0,W2020,GOOGL,
BUY,2020-03-05,65.74,382,25162.93047267999,-0.0012,Level 2/4: sentiment -0.0 < 0,2.0,W2020,GOOGL,
BUY,2020-03-12,55.58,452,25172.42944215999,-5.75,Level 3/4: sentiment -5.8 < -5,3.0,W2020,GOOGL,
SELL,2021-09-28,135.83,1216,164839.10660928002,10.2924,AND: sentiment 10.3 > 10 & price < MA50,,W2021,GOOGL,118.32381780449839
BUY,2021-10-12,136.45,347,47442.89364814999,4.8617,Level 1/4: sentiment 4.9 < 5,1.0,W2021,GOOGL,
SELL,2021-10-22,137.57,347,47641.36415679,10.4321,AND: sentiment 10.4 > 10 & price < MA50,,W2021,GOOGL,0.4183355891230472
BUY,2021-11-23,145.78,325,47473.30437849998,4.4998,Level 1/4: sentiment 4.5 < 5,1.0,W2021,GOOGL,
BUY,2021-12-01,141.05,336,47487.63299279999,-1.3655,Level 2/4: sentiment -1.4 < 0,2.0,W2021,GOOGL,
BUY,2022-01-07,137.02,348,47778.37360295999,-5.3669,Level 3/4: sentiment -5.4 < -5,3.0,W2022,GOOGL,
BUY,2023-01-03,89.12,385,34379.856711199995,-14.8234,Level 4/4: sentiment -14.8 < -10,4.0,W2023,GOOGL,
SELL,2025-09-04,232.3,1394,323178.8714262,30.3181,OR: sentiment 30.3 > 30,,W2025,GOOGL,82.46408655223732
BUY,2020-01-15,93.1,267,24907.440257699996,3.2624,Level 1/4: sentiment 3.3 < 5,1.0,W2020,AMZN,
BUY,2020-01-27,91.42,272,24915.997346239994,-1.4957,Level 2/4: sentiment -1.5 < 0,2.0,W2020,AMZN,
SELL,2020-09-08,157.49,539,84717.42066711001,21.2773,AND: sentiment 21.3 > 15 & price < MA50,,W2020,AMZN,70.03527805638731
BUY,2020-10-30,151.81,221,33617.14357001,3.1677,Level 1/4: sentiment 3.2 < 5,1.0,W2020,AMZN,
