type,date,price,shares,sentiment,reason,strategy,profit_pct
BUY,2020-03-16,4.91,16260,3.5336,sentiment 3.5 < 5,A.基准,
SELL,2021-09-28,20.7,16260,23.2944,AND: 23.3 > 22,A.基准,319.9056079822971
BUY,2022-01-13,26.58,10690,4.7096,sentiment 4.7 < 5,A.基准,
SELL,2023-05-26,38.95,10690,57.4746,OR: 57.5 > 55,A.基准,45.953766490678845
BUY,2023-10-25,41.78,9301,4.2554,sentiment 4.3 < 5,A.基准,
SELL,2024-04-19,76.2,9301,24.9453,AND: 24.9 > 22,A.基准,81.65583697179918
BUY,2024-07-30,103.73,6193,1.2668,sentiment 1.3 < 5,A.基准,
SELL,2024-08-29,117.59,6193,31.2653,AND: 31.3 > 22,A.基准,12.90907096384759
BUY,2024-09-10,108.1,6556,4.282,sentiment 4.3 < 5,A.基准,
SELL,2025-09-02,170.78,6556,33.4825,AND: 33.5 > 22,A.基准,57.35267732966616
BUY,2025-11-14,190.17,5437,4.8269,sentiment 4.8 < 5,A.基准,
BUY,2020-03-24,6.23,12815,4.5984,sentiment 4.6 < 5 & price > MA10,B.MA确认,
SELL,2021-09-28,20.7,12815,23.2944,AND: 23.3 > 22,B.MA确认,230.9368435301892
BUY,2022-01-31,24.49,9282,-7.5718,sentiment -7.6 < 5 & price > MA10,B.MA确认,
SELL,2023-05-26,38.95,9282,57.4746,OR: 57.5 > 55,B.MA确认,58.4096003806551
BUY,2023-11-01,42.33,7879,-0.7075,sentiment -0.7 < 5 & price > MA10,B.MA确认,
SELL,2024-04-19,76.2,7879,24.9453,AND: 24.9 > 22,B.MA确认,79.29555560316018
BUY,2024-07-31,117.02,4658,2.4149,sentiment 2.4 < 5 & price > MA10,B.MA确认,
SELL,2024-08-29,117.59,4658,31.2653,AND: 31.3 > 22,B.MA确认,0.0859505305068511
BUY,2024-12-20,134.7,4049,4.8352,sentiment 4.8 < 5 & price > MA10,B.MA确认,
SELL,2025-09-02,170.78,4049,33.4825,AND: 33.5 > 22,B.MA确认,26.27932011385977
BUY,2025-12-04,183.38,3599,4.1903,sentiment 4.2 < 5 & price > MA10,B.MA确认,
BUY,2020-03-16,4.91,8130,3.5336,第1批(40%): sentiment 3.5 < 5,C.时间分批,
BUY,2020-03-24,6.23,7689,4.5984,第2批(加仓): 持有8天 & price > MA10,C.时间分批,
SELL,2021-09-28,20.7,15819,23.2944,AND: 23.3 > 22,C.时间分批,271.3769561599074
BUY,2022-01-13,26.58,5088,4.7096,第1批(40%): sentiment 4.7 < 5,C.时间分批,
BUY,2022-01-31,24.49,6627,-7.5718,第2批(加仓): 持有18天 & price > MA10,C.时间分批,
SELL,2023-05-26,38.95,11715,57.4746,OR: 57.5 > 55,C.时间分批,52.74801720343033
BUY,2023-10-25,41.78,4739,4.2554,第1批(40%): sentiment 4.3 < 5,C.时间分批,
BUY,2023-11-01,42.33,5614,-0.7075,第2批(加仓): 持有7天 & price > MA10,C.时间分批,
SELL,2024-04-19,76.2,10353,24.9453,AND: 24.9 > 22,C.时间分批,80.36829719933723
BUY,2024-07-30,103.73,3259,1.2668,第1批(40%): sentiment 1.3 < 5,C.时间分批,
BUY,2024-08-12,109.02,3721,3.8534,第2批(加仓): 持有13天 & price > MA10,C.时间分批,
SELL,2024-08-29,117.59,6980,31.2653,AND: 31.3 > 22,C.时间分批,9.920696523547837
BUY,2024-09-10,108.1,3400,4.282,第1批(40%): sentiment 4.3 < 5,C.时间分批,
BUY,2024-09-16,116.78,3777,10.194,第2批(加仓): 持有6天 & price > MA10,C.时间分批,
SELL,2025-09-02,170.78,7177,33.4825,AND: 33.5 > 22,C.时间分批,50.973019150204244
BUY,2025-11-14,190.17,2799,4.8269,第1批(40%): sentiment 4.8 < 5,C.时间分批,
BUY,2025-12-02,181.46,3521,5.1185,第2批(加仓): 持有18天 & price > MA10,C.时间分批,
BUY,2020-03-16,4.91,5081,3.5336,第1批(25%): sentiment 3.5 < 5,D.阈值分批,
BUY,2020-03-23,5.32,4689,-0.0819,第2批(25%): sentiment -0.1 < 0,D.阈值分批,
BUY,2021-03-08,11.59,2152,-6.6521,第3批(25%): sentiment -6.7 < -5,D.阈值分批,
SELL,2021-09-28,20.7,11922,23.2944,AND: 23.3 > 22,D.阈值分批,228.45681395012627
BUY,2022-01-13,26.58,938,4.7096,第1批(25%): sentiment 4.7 < 5,D.阈值分批,
BUY,2022-01-19,25.07,995,-0.2385,第2批(25%): sentiment -0.2 < 0,D.阈值分批,
BUY,2022-01-21,23.37,1067,-6.1984,第3批(25%): sentiment -6.2 < -5,D.阈值分批,
BUY,2022-04-11,21.92,1138,-12.3116,第4批(25%): sentiment -12.3 < -10,D.阈值分批,
SELL,2023-05-26,38.95,4138,57.4746,OR: 57.5 > 55,D.阈值分批,60.92201951982169
BUY,2023-10-25,41.78,597,4.2554,第1批(25%): sentiment 4.3 < 5,D.阈值分批,
BUY,2023-10-27,40.5,616,-1.1602,第2批(25%): sentiment -1.2 < 0,D.阈值分批,
SELL,2024-04-19,76.2,1213,24.9453,AND: 24.9 > 22,D.阈值分批,84.5267549820144
BUY,2024-07-30,103.73,240,1.2668,第1批(25%): sentiment 1.3 < 5,D.阈值分批,
BUY,2024-08-07,98.91,252,-0.4428,第2批(25%): sentiment -0.4 < 0,D.阈值分批,
SELL,2024-08-29,117.59,492,31.2653,AND: 31.3 > 22,D.阈值分批,15.661829745882141
BUY,2024-09-10,108.1,230,4.282,第1批(25%): sentiment 4.3 < 5,D.阈值分批,
BUY,2025-02-27,120.15,207,-1.1596,第2批(25%): sentiment -1.2 < 0,D.阈值分批,
BUY,2025-03-03,114.06,218,-7.6949,第3批(25%): sentiment -7.7 < -5,D.阈值分批,
BUY,2025-03-05,117.3,212,-10.9086,第4批(25%): sentiment -10.9 < -10,D.阈值分批,
SELL,2025-09-02,170.78,867,33.4825,AND: 33.5 > 22,D.阈值分批,48.26583493360147
BUY,2025-11-14,190.17,131,4.8269,第1批(25%): sentiment 4.8 < 5,D.阈值分批,
BUY,2025-12-17,170.94,145,-0.6604,第2批(25%): sentiment -0.7 < 0,D.阈值分批,
BUY,2020-03-17,5.43,14703,4.0187,反转确认: sentiment从3.5回升到4.0,E.反转确认,
SELL,2021-09-28,20.7,14703,23.2944,AND: 23.3 > 22,E.反转确认,279.69365289006976
BUY,2022-01-31,24.49,10554,-7.5718,反转确认: sentiment从-9.1回升到-7.6,E.反转确认,
SELL,2023-05-26,38.95,10554,57.4746,OR: 57.5 > 55,E.反转确认,58.4096003806551
BUY,2023-10-31,40.78,9300,-2.6037,反转确认: sentiment从-2.7回升到-2.6,E.反转确认,
SELL,2024-04-19,76.2,9300,24.9453,AND: 24.9 > 22,E.反转确认,86.11036951156862
BUY,2024-07-31,117.02,5473,2.4149,反转确认: sentiment从1.3回升到2.4,E.反转确认,
SELL,2024-08-29,117.59,5473,31.2653,AND: 31.3 > 22,E.反转确认,0.0859505305068511
BUY,2024-09-11,116.91,5482,6.9596,反转确认: sentiment从4.3回升到7.0,E.反转确认,
SELL,2025-09-02,170.78,5482,33.4825,AND: 33.5 > 22,E.反转确认,45.49503395207348
BUY,2025-11-19,186.52,4687,3.1061,反转确认: sentiment从2.4回升到3.1,E.反转确认,
