type,date,price,shares,sentiment,reason,window,strategy,profit_pct
BUY,2020-03-23,5.32,15007,-0.0819,sent -0.1<0,W2020,A.Baseline,
SELL,2020-03-27,6.32,15007,9.0291,AND: 9.0>7,W2020,A.Baseline,18.32275346355254
BUY,2021-01-04,13.11,6982,5.5854,sent 5.6<10,W2021,A.Baseline,
SELL,2021-08-18,19.04,6982,19.8377,AND: 19.8>12,W2021,A.Baseline,44.652876367843355
BUY,2021-10-12,20.67,6010,7.5079,sent 7.5<10,W2021,A.Baseline,
SELL,2021-12-17,27.8,6010,18.221,AND: 18.2>12,W2021,A.Baseline,33.95753297941098
BUY,2022-01-05,27.6,5724,9.6321,sent 9.6<10,W2022,A.Baseline,
SELL,2023-01-26,19.8,5724,36.4188,OR: 36.4>35,W2023,A.Baseline,-28.547253033636196
BUY,2023-09-21,41.02,2971,14.8821,sent 14.9<15,W2023,A.Baseline,
SELL,2023-09-22,41.61,2971,12.63,AND: 12.6>2,W2023,A.Baseline,1.0333797692465503
BUY,2023-09-25,42.22,2911,11.9031,sent 11.9<15,W2023,A.Baseline,
SELL,2023-09-26,41.91,2911,9.3051,AND: 9.3>2,W2023,A.Baseline,-1.1305192379210642
BUY,2023-09-27,42.47,2868,8.9438,sent 8.9<15,W2023,A.Baseline,
SELL,2023-09-28,43.09,2868,9.5571,AND: 9.6>2,W2023,A.Baseline,1.0548250614753722
BUY,2023-09-29,43.5,2823,10.3163,sent 10.3<15,W2023,A.Baseline,
SELL,2023-10-02,44.78,2823,11.7294,AND: 11.7>2,W2023,A.Baseline,2.531580927254233
BUY,2023-10-03,43.52,2879,8.0934,sent 8.1<15,W2023,A.Baseline,
SELL,2023-10-04,44.04,2879,7.0499,AND: 7.0>2,W2023,A.Baseline,0.7908818755141801
BUY,2023-10-05,44.69,2821,6.0104,sent 6.0<15,W2023,A.Baseline,
SELL,2023-10-17,43.94,2821,15.0292,AND: 15.0>2,W2023,A.Baseline,-2.0707294843988207
BUY,2023-10-18,42.2,2938,12.9254,sent 12.9<15,W2023,A.Baseline,
SELL,2023-10-19,42.1,2938,10.0586,AND: 10.1>2,W2023,A.Baseline,-0.6352220486427356
BUY,2023-10-20,41.39,2981,7.3878,sent 7.4<15,W2023,A.Baseline,
SELL,2023-10-23,42.98,2981,6.6565,AND: 6.7>2,W2023,A.Baseline,3.426971067714028
BUY,2023-10-24,43.66,2903,6.754,sent 6.8<15,W2023,A.Baseline,
SELL,2023-10-25,41.78,2903,4.2554,AND: 4.3>2,W2023,A.Baseline,-4.688012507311834
BUY,2023-10-26,40.33,3025,1.1084,sent 1.1<15,W2023,A.Baseline,
SELL,2024-04-19,76.2,3025,24.9453,AND: 24.9>22,W2024,A.Baseline,88.18697913914629
BUY,2024-07-25,112.28,1853,9.3335,sent 9.3<10,W2024,A.Baseline,
SELL,2024-08-29,117.59,1853,31.2653,AND: 31.3>22,W2024,A.Baseline,4.3111678934797855
BUY,2024-09-06,102.83,2093,6.3127,sent 6.3<10,W2024,A.Baseline,
SELL,2025-09-02,170.78,2093,33.4825,AND: 33.5>22,W2025,A.Baseline,65.41694465950513
BUY,2025-10-17,183.22,1789,9.266,sent 9.3<10,W2025,A.Baseline,
BUY,2020-03-24,6.23,12815,4.5984,sent 4.6<15 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-03-25,6.14,12815,6.1892,AND: 6.2>2,W2020,B.MA_Confirm,-1.838057039837599
BUY,2020-03-26,6.43,12234,9.0869,sent 9.1<15 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-03-27,6.32,12234,9.0291,AND: 9.0>2,W2020,B.MA_Confirm,-2.1031028886314673
BUY,2020-03-30,6.64,11648,11.3973,sent 11.4<15 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-04-01,6.08,11648,10.947,AND: 10.9>2,W2020,B.MA_Confirm,-8.799268567211447
BUY,2020-04-02,6.39,11251,12.0954,sent 12.1<15 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-04-03,6.1,11251,10.1621,AND: 10.2>2,W2020,B.MA_Confirm,-4.919425244170899
BUY,2020-04-06,6.71,10293,11.6264,sent 11.6<15 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-09-02,14.35,10293,47.3783,OR: 47.4>45,W2020,B.MA_Confirm,113.00617925528043
BUY,2020-11-04,13.79,9536,12.2767,sent 12.3<15 & P>MA10,W2020,B.MA_Confirm,
