type,date,price,shares,sentiment,reason,window,strategy,profit_pct
BUY,2021-01-06,12.61,6331,2.7541,sent 2.8<4.0,W2021,A.Baseline,
SELL,2021-08-18,19.04,6331,19.8377,AND: 19.8>15,W2021,A.Baseline,50.38851777814642
BUY,2022-01-18,25.9,4325,2.0418,sent 2.0<4.0,W2022,A.Baseline,
SELL,2023-02-01,20.94,4325,40.1272,OR: 40.1>40,W2023,A.Baseline,-19.473331007511085
BUY,2023-10-04,44.04,2147,7.0499,sent 7.0<8.0,W2023,A.Baseline,
SELL,2023-10-05,44.69,2147,6.0104,AND: 6.0>5,W2023,A.Baseline,1.0708378393146085
BUY,2023-10-06,45.76,2084,7.441,sent 7.4<8.0,W2023,A.Baseline,
SELL,2023-10-17,43.94,2084,15.0292,AND: 15.0>5,W2023,A.Baseline,-4.360596605283713
BUY,2023-10-20,41.39,2224,7.3878,sent 7.4<8.0,W2023,A.Baseline,
SELL,2023-10-23,42.98,2224,6.6565,AND: 6.7>5,W2023,A.Baseline,3.426971067714028
BUY,2023-10-24,43.66,2166,6.754,sent 6.8<8.0,W2023,A.Baseline,
SELL,2024-05-01,83.04,2166,26.4209,AND: 26.4>25,W2024,A.Baseline,89.43770802759276
BUY,2024-07-30,103.73,1564,1.2668,sent 1.3<4.0,W2024,A.Baseline,
SELL,2024-08-29,117.59,1564,31.2653,AND: 31.3>25,W2024,A.Baseline,12.90907096384759
BUY,2025-01-27,118.42,1511,3.4788,sent 3.5<4.0,W2025,A.Baseline,
SELL,2025-09-02,170.78,1511,33.4825,AND: 33.5>25,W2025,A.Baseline,43.639794117014944
BUY,2025-11-18,181.36,1331,2.4259,sent 2.4<4.0,W2025,A.Baseline,
BUY,2020-03-24,6.23,12815,4.5984,sent 4.6<8.0 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-03-25,6.14,12815,6.1892,AND: 6.2>5,W2020,B.MA_Confirm,-1.838057039837599
BUY,2020-05-05,7.34,10717,7.8427,sent 7.8<8.0 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-10-28,12.63,10717,14.4532,AND: 14.5>5,W2020,B.MA_Confirm,71.38393581255903
BUY,2020-12-30,13.15,9398,7.3482,sent 7.3<8.0 & P>MA10,W2020,B.MA_Confirm,
SELL,2020-12-31,13.06,9398,7.3167,AND: 7.3>5,W2020,B.MA_Confirm,-1.0808796692874316
BUY,2021-01-07,13.34,9184,2.5695,sent 2.6<4.0 & P>MA10,W2021,B.MA_Confirm,
SELL,2021-08-18,19.04,9184,19.8377,AND: 19.8>15,W2021,B.MA_Confirm,42.158861258052966
BUY,2022-05-03,19.6,8359,-24.3816,sent -24.4<-16.0 & P>MA10,W2022,B.MA_Confirm,
SELL,2023-05-25,37.98,8359,50.9472,OR: 50.9>50,W2023,B.MA_Confirm,93.00195604513736
BUY,2023-10-04,44.04,6488,7.0499,sent 7.0<8.0 & P>MA10,W2023,B.MA_Confirm,
SELL,2023-10-17,43.94,6488,15.0292,AND: 15.0>15,W2023,B.MA_Confirm,-0.625361050358378
BUY,2023-11-01,42.33,6716,-0.7075,sent -0.7<8.0 & P>MA10,W2023,B.MA_Confirm,
SELL,2024-05-01,83.04,6716,26.4209,AND: 26.4>25,W2024,B.MA_Confirm,95.38980232659348
BUY,2024-07-31,117.02,4283,2.4149,sent 2.4<4.0 & P>MA10,W2024,B.MA_Confirm,
SELL,2024-08-29,117.59,4283,31.2653,AND: 31.3>25,W2024,B.MA_Confirm,0.0859505305068511
BUY,2025-01-02,138.31,3626,5.4224,sent 5.4<8.0 & P>MA10,W2025,B.MA_Confirm,
SELL,2025-09-02,170.78,3626,33.4825,AND: 33.5>25,W2025,B.MA_Confirm,22.98333034008323
BUY,2025-10-24,186.26,3188,6.4369,sent 6.4<8.0 & P>MA10,W2025,B.MA_Confirm,
BUY,2020-03-23,5.32,7503,-0.0819,Batch1(40%): sent -0.1<0.0,W2020,C.Time_Staged,
SELL,2020-03-25,6.14,7503,6.1892,AND: 6.2>5,W2020,C.Time_Staged,14.952801624400697
BUY,2021-01-06,12.61,3355,2.7541,Batch1(40%): sent 2.8<4.0,W2021,C.Time_Staged,
BUY,2021-01-11,13.62,3727,0.9322,Batch2: 5d & P>MA10,W2021,C.Time_Staged,
SELL,2021-08-18,19.04,7082,19.8377,AND: 19.8>15,W2021,C.Time_Staged,44.30585540391838
BUY,2022-04-12,21.5,2734,-16.117,Batch1(40%): sent -16.1<-16.0,W2022,C.Time_Staged,
BUY,2022-05-03,19.6,3600,-24.3816,Batch2: 21d & P>MA10,W2022,C.Time_Staged,
SELL,2023-05-25,37.98,6334,50.9472,OR: 50.9>50,W2023,C.Time_Staged,85.25060140220073
BUY,2024-07-30,103.73,992,1.2668,Batch1(40%): sent 1.3<4.0,W2024,C.Time_Staged,
BUY,2024-08-12,109.02,1132,3.8534,Batch2: 13d & P>MA10,W2024,C.Time_Staged,
