buy_threshold,and_sell_threshold,or_threshold,total_return,annualized_return,sharpe_ratio,max_drawdown,total_trades,win_rate
-15,25,45,511.03180718128937,43.82656530304023,1.1325969803940128,-53.64739852696271,4,75.0
-15,25,40,493.716743408621,42.998755270173184,1.1182663522133178,-53.63974411629877,4,75.0
-15,25,30,421.79637213698163,39.338754767520356,1.0784192775255446,-53.61239673513162,4,100.0
-15,25,50,454.4852687799794,41.049237766683966,1.060747250657187,-53.89862243279715,4,75.0
-10,25,45,489.0131167173114,42.77055199192981,1.0593945268498628,-61.00937868758989,4,75.0
-15,25,35,425.4601962183399,39.53466050289101,1.0592894351575517,-53.63587493940353,4,75.0
-10,25,40,472.2567340969012,41.94556914401466,1.0459063211128903,-61.01893921833814,4,75.0
-10,25,30,403.2306972633113,38.32879764582029,1.003514844961872,-61.008655149675796,4,100.0
-10,25,50,434.7031396647303,40.02407627360795,0.9973127246018715,-61.019202334216814,4,75.0
-10,25,35,406.8648626944611,38.528810223250765,0.9905877365394726,-61.03372280579353,4,75.0
-5,25,45,377.18629876496124,36.860581311726826,0.9533132883470504,-61.02865851122132,4,75.0
-5,25,40,363.753150386079,36.07811368474141,0.9403890386428078,-60.97239635356617,4,75.0
-5,25,50,333.4898920736701,34.246616283054145,0.895616228475822,-61.016747285065584,4,75.0
-5,25,30,308.27899285405016,32.64113373667343,0.8947438943953154,-61.04737671526674,4,100.0
-5,25,35,310.92133138742054,32.81306157249173,0.8851592600699385,-61.0080713857388,4,75.0
-15,20,45,245.22154911767058,28.247333081503,0.8675180543242649,-53.64739852696271,4,75.0
-15,25,25,209.26685158890072,25.446161945092925,0.8669790476009682,-53.66710796101475,4,75.0
-15,20,25,209.26685158890072,25.446161945092925,0.8669790476009682,-53.66710796101475,4,75.0
-15,20,40,230.5679594234707,27.135227633174686,0.8439210930574649,-53.63974411629877,4,75.0
-15,20,30,217.8346695032112,26.1363948362348,0.839096978824028,-53.61239673513162,4,100.0
-15,20,35,215.89740371226992,25.9816395303748,0.8211610977896685,-53.63587493940353,4,75.0
-10,20,45,233.84218098607064,27.38708685944209,0.808429454335119,-61.00937868758989,4,75.0
-30,20,30,78.64304362035024,12.356449686871706,0.7977524145744322,-24.305292747028282,1,100.0
-30,15,30,78.64304362035024,12.356449686871706,0.7977524145744322,-24.305292747028282,1,100.0
-30,25,30,78.64304362035024,12.356449686871706,0.7977524145744322,-24.305292747028282,1,100.0
-10,20,25,198.98034590900102,24.596982916595913,0.7920231896599925,-60.953475831210454,4,75.0
-10,25,25,198.98034590900102,24.596982916595913,0.7920231896599925,-60.953475831210454,4,75.0
-10,20,40,219.70690140353076,26.285240340376646,0.7867538146287909,-61.01893921833814,4,75.0
-10,20,30,207.4494112727705,25.297786088928433,0.7781052450002705,-61.008655149675796,4,100.0
-10,20,35,205.55489532423064,25.14236968811543,0.7653766066597065,-61.03372280579353,4,75.0
-15,20,50,178.9564945830696,22.874653043513216,0.7396488512684095,-57.36748531572826,4,75.0
-15,5,25,137.69962140404027,18.98859111697375,0.7261588306186259,-43.640965907676,5,80.0
-25,25,30,65.50987580081986,10.64687285571213,0.7034832841399632,-24.000796062326142,1,100.0
-25,20,30,65.50987580081986,10.64687285571213,0.7034832841399632,-24.000796062326142,1,100.0
-25,15,30,65.50987580081986,10.64687285571213,0.7034832841399632,-24.000796062326142,1,100.0
-5,20,45,171.19160405890105,22.180103308117015,0.7000845770688177,-61.02865851122132,4,75.0
-15,10,25,129.18023096933018,18.11972421374284,0.6991987531471844,-43.640965907676,5,80.0
-15,15,45,141.96863015470004,19.414646482966937,0.6976288701459349,-53.64739852696271,4,75.0
-10,20,50,169.84526771274037,22.05806451177299,0.6944280923645791,-60.984021328804005,4,75.0
-15,5,45,129.78691616717995,18.18244428801028,0.6878065235766305,-43.63597446501907,5,80.0
-5,20,40,159.86147534897995,21.13756834207372,0.6790670547103898,-60.97239635356617,4,75.0
-15,15,25,122.71028473896078,17.442459711310974,0.6781497166438539,-53.66710796101475,4,75.0
-15,15,30,127.76125772054066,17.972508736851587,0.6756380410028529,-53.61239673513162,4,100.0
-15,15,40,131.77637872547092,18.38719381482632,0.6720748864410186,-53.63974411629877,4,75.0
-5,25,25,142.9186865467204,19.50864573517248,0.6710701194531247,-61.049361059266424,4,75.0
-5,20,25,142.9186865467204,19.50864573517248,0.6710701194531247,-61.049361059266424,4,75.0
-5,20,30,150.08037733594054,20.207929864516338,0.667279926136446,-61.04737671526674,4,100.0
-15,10,45,124.11205162937007,17.590516356597806,0.6657648078954311,-43.63597446501907,5,80.0
-15,5,40,120.14053462129026,17.1690938168646,0.660640023369839,-43.637918409096464,5,80.0
-5,20,35,148.499819968541,20.05499017630934,0.6576401709466618,-61.0080713857388,4,75.0
-15,15,35,121.55467730593989,17.319841669322766,0.6469829256424889,-53.63587493940353,4,75.0
-10,15,45,133.8146003847705,18.59550998506463,0.6447890910785168,-61.00937868758989,4,75.0
-15,10,40,114.6553838726203,16.576951215364954,0.638937673421078,-43.637918409096464,5,80.0
-15,5,35,110.38736178665016,16.10777849080547,0.6339513315092938,-43.643696445813596,5,80.0
-30,25,50,67.80849526410029,10.953734209623223,0.6336650200011994,-24.305292747028282,1,100.0
-30,25,45,67.80849526410029,10.953734209623223,0.6336650200011994,-24.305292747028282,1,100.0
-30,25,40,67.80849526410029,10.953734209623223,0.6336650200011994,-24.305292747028282,1,100.0
-30,25,35,67.80849526410029,10.953734209623223,0.6336650200011994,-24.305292747028282,1,100.0
-30,20,50,65.62425031548025,10.662221902741287,0.6327357496434781,-24.305292747028282,1,100.0
-30,20,45,65.62425031548025,10.662221902741287,0.6327357496434781,-24.305292747028282,1,100.0
-30,20,40,65.62425031548025,10.662221902741287,0.6327357496434781,-24.305292747028282,1,100.0
-30,20,35,65.62425031548025,10.662221902741287,0.6327357496434781,-24.305292747028282,1,100.0
-10,15,40,123.90722558297082,17.56892858812713,0.6215223377969755,-61.01893921833814,4,75.0
-10,15,30,120.07954082931059,17.16257447744629,0.6203215516785257,-61.008655149675796,4,100.0
-10,5,25,115.0964023800002,16.62500507496416,0.6199417579506564,-55.272183078897065,5,80.0
-10,15,25,115.04670532724073,16.619593968503963,0.6171587706591892,-60.953475831210454,4,75.0
-15,10,35,105.16926612557063,15.523717558685558,0.6125536156172683,-43.643696445813596,5,80.0
-30,15,35,61.63135809459022,10.12128747886143,0.6088748442260771,-24.305292747028282,1,100.0
-30,15,40,61.63135809459022,10.12128747886143,0.6088748442260771,-24.305292747028282,1,100.0
-30,15,50,61.63135809459022,10.12128747886143,0.6088748442260771,-24.305292747028282,1,100.0
-30,15,45,61.63135809459022,10.12128747886143,0.6088748442260771,-24.305292747028282,1,100.0
-10,15,35,114.06751108989069,16.512773111536184,0.5982226395333057,-61.03372280579353,4,75.0
-10,10,25,107.35811334796045,15.770144113306772,0.5970474328269794,-55.272183078897065,5,80.0
-15,5,30,97.62263088222039,14.65765671628143,0.5944074220499093,-43.615217798821945,5,80.0
-10,5,45,108.21339658841036,15.865869621715479,0.5927536452996833,-55.309932297368846,5,80.0
-5,20,50,119.6137042415005,17.112735709835714,0.5907787163250485,-61.00577669943015,4,75.0
-10,10,45,102.98950620135021,15.276217111740564,0.5753035720088151,-55.309932297368846,5,80.0
-15,10,30,92.74172085821044,14.083337706159483,0.5738064865897573,-43.615217798821945,5,80.0
-10,5,40,99.48902029134025,14.874273760317847,0.568614157605167,-55.28907832299208,5,80.0
-15,15,50,95.46086974357024,14.404704993674521,0.5629221193065578,-57.36748531572826,4,75.0
-25,25,45,55.57352834456992,9.279846700597606,0.5563257636655042,-24.000796062326142,1,100.0
-25,25,35,55.57352834456992,9.279846700597606,0.5563257636655042,-24.000796062326142,1,100.0
-25,25,40,55.57352834456992,9.279846700597606,0.5563257636655042,-24.000796062326142,1,100.0
-25,25,50,55.57352834456992,9.279846700597606,0.5563257636655042,-24.000796062326142,1,100.0
-25,20,35,53.570360697389916,8.995842575684708,0.5531086706295658,-24.000796062326142,1,100.0
-25,20,50,53.570360697389916,8.995842575684708,0.5531086706295658,-24.000796062326142,1,100.0
-25,20,40,53.570360697389916,8.995842575684708,0.5531086706295658,-24.000796062326142,1,100.0
-25,20,45,53.570360697389916,8.995842575684708,0.5531086706295658,-24.000796062326142,1,100.0
-10,10,40,94.5027439623703,14.291877285107923,0.5515041299306072,-55.28907832299208,5,80.0
-15,5,50,85.71758506926024,13.236081175074332,0.5445385787477307,-48.09485389003891,5,80.0
-10,5,35,90.60822783751041,13.828640555813433,0.543753956711823,-55.31930669725382,5,80.0
-30,15,25,43.69512444243018,7.550852801982866,0.5392241560665618,-24.305292747028282,1,100.0
-30,25,25,43.69512444243018,7.550852801982866,0.5392241560665618,-24.305292747028282,1,100.0
-30,20,25,43.69512444243018,7.550852801982866,0.5392241560665618,-24.305292747028282,1,100.0
-5,15,45,91.03486124990094,13.879753805316785,0.5334205162573158,-61.02865851122132,4,50.0
-25,15,50,49.90848544817994,8.468926955438327,0.5290319282666662,-24.000796062326142,1,100.0
-25,15,40,49.90848544817994,8.468926955438327,0.5290319282666662,-24.000796062326142,1,100.0
