type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-16,4.91,5081,24997.630367709997,4.4283,Level 1/4: sentiment 4.4 < 5,1.0,W2020,NVDA,
BUY,2020-03-20,5.14,4854,24999.484069559992,-0.3226,Level 2/4: sentiment -0.3 < 0,2.0,W2020,NVDA,
SELL,2020-10-28,12.63,9935,125228.21737905002,19.3323,AND: sentiment 19.3 > 15 & price < MA50,,W2020,NVDA,150.47088974738816
BUY,2020-12-29,12.94,3378,43798.786351319985,4.7317,Level 1/4: sentiment 4.7 < 5,1.0,W2020,NVDA,
BUY,2021-03-04,12.37,3544,43927.00239927999,-0.6774,Level 2/4: sentiment -0.7 < 0,2.0,W2021,NVDA,
SELL,2021-07-02,20.49,6922,141548.25827177998,31.615,OR: sentiment 31.6 > 30,,W2021,NVDA,61.353075632291656
BUY,2022-01-18,25.9,2206,57249.727935399984,3.794,Level 1/4: sentiment 3.8 < 5,1.0,W2022,NVDA,
BUY,2022-01-21,23.37,2445,57253.98643964998,-2.7943,Level 2/4: sentiment -2.8 < 0,2.0,W2022,NVDA,
BUY,2022-01-25,22.32,2560,57253.535539199984,-5.9134,Level 3/4: sentiment -5.9 < -5,3.0,W2022,NVDA,
BUY,2022-04-12,21.5,2658,57261.35114699999,-10.183,Level 4/4: sentiment -10.2 < -10,4.0,W2022,NVDA,
SELL,2023-05-26,38.95,9869,383629.13929755,55.1215,OR: sentiment 55.1 > 50,,W2023,NVDA,67.51003521978122
BUY,2023-10-20,41.39,2312,95885.16305367996,2.733,Level 1/4: sentiment 2.7 < 5,1.0,W2023,NVDA,
BUY,2023-10-27,40.5,2363,95892.99870149998,-0.4812,Level 2/4: sentiment -0.5 < 0,2.0,W2023,NVDA,
SELL,2025-09-02,170.78,4675,796800.5053965,33.2007,AND: sentiment 33.2 > 30 & price < MA50,,W2025,NVDA,315.4803123067157
BUY,2025-11-18,181.36,1360,247143.14584959997,3.7517,Level 1/4: sentiment 3.8 < 5,1.0,W2025,NVDA,
BUY,2020-03-19,28.51,875,24996.167446249998,3.8373,Level 1/4: sentiment 3.8 < 5,1.0,W2020,TSLA,
SELL,2020-04-16,49.68,875,43383.10347,41.3121,OR: sentiment 41.3 > 40,,W2020,TSLA,73.55902085104839
BUY,2021-04-29,225.67,130,29395.803537099993,3.9515,Level 1/4: sentiment 4.0 < 5,1.0,W2021,TSLA,
