type,date,price,shares,sentiment,reason,window,symbol,profit_pct
BUY,2021-04-29,225.67,353,3.8068,3.8 < 4.0,W2021,TSLA,
SELL,2021-12-31,352.26,353,26.9072,AND: 26.9 > 25,W2021,TSLA,55.472049390042635
BUY,2022-03-15,267.3,430,-11.9227,-11.9 < 4.0,W2022,TSLA,
SELL,2023-09-01,245.01,430,20.47,AND: 20.5 > 20,W2023,TSLA,-8.704857035617183
BUY,2023-10-19,220.11,486,2.2362,2.2 < 4.0,W2023,TSLA,
SELL,2024-12-12,418.1,486,52.3373,OR: 52.3 > 50,W2024,TSLA,89.19219471604261
BUY,2025-03-17,238.01,771,-11.3256,-11.3 < -8.0,W2025,TSLA,
BUY,2020-03-23,56.09,1423,-9.4121,-9.4 < -8.0,W2020,AAPL,
SELL,2020-08-04,109.67,1423,36.6291,OR: 36.6 > 35,W2020,AAPL,94.74451068945012
BUY,2021-03-16,125.57,1117,-3.1368,-3.1 < 4.0,W2021,AAPL,
SELL,2024-09-04,220.85,1117,17.979,AND: 18.0 > 10,W2024,AAPL,75.1758892676031
BUY,2025-03-17,214.0,1049,-7.0589,-7.1 < 0.0,W2025,AAPL,
SELL,2025-12-31,271.86,1049,11.4822,AND: 11.5 > 5,W2025,AAPL,26.530248421506737
BUY,2020-03-20,137.35,581,-5.7834,-5.8 < -4.0,W2020,MSFT,
SELL,2020-08-07,212.48,581,25.425,OR: 25.4 > 25,W2020,MSFT,54.0821094238336
BUY,2021-03-16,237.71,481,1.5958,1.6 < 4.0,W2021,MSFT,
SELL,2021-11-04,336.44,481,25.4483,OR: 25.4 > 25,W2021,MSFT,40.96879705864136
BUY,2021-12-03,323.01,470,1.9734,2.0 < 4.0,W2021,MSFT,
SELL,2023-05-22,321.18,470,25.4111,OR: 25.4 > 25,W2023,MSFT,-0.9634854676410811
BUY,2023-08-11,321.01,469,-0.4141,-0.4 < 0.0,W2023,MSFT,
SELL,2025-09-16,509.04,469,10.1758,AND: 10.2 > 10,W2025,MSFT,57.94146793547076
BUY,2025-11-03,517.03,426,-0.2789,-0.3 < 0.0,W2025,MSFT,
BUY,2020-03-13,60.71,1315,-4.6815,-4.7 < -4.0,W2020,GOOGL,
SELL,2021-09-28,135.83,1315,10.2924,AND: 10.3 > 10,W2021,GOOGL,122.84263714743963
BUY,2022-03-15,129.2,1225,-7.7521,-7.8 < -4.0,W2022,GOOGL,
SELL,2023-07-10,116.45,1225,12.7831,AND: 12.8 > 10,W2023,GOOGL,-10.22822739592808
BUY,2024-07-25,167.28,868,-4.0936,-4.1 < -4.0,W2024,GOOGL,
SELL,2025-09-03,230.66,868,26.5284,OR: 26.5 > 25,W2025,GOOGL,37.33811723802368
BUY,2020-03-13,89.25,894,-1.7454,-1.7 < 0.0,W2020,AMZN,
SELL,2020-07-10,160.0,894,36.3483,OR: 36.3 > 35,W2020,AMZN,78.55605387401326
BUY,2020-11-13,156.44,830,-1.0457,-1.0 < 0.0,W2020,AMZN,
SELL,2023-03-28,97.24,830,5.9055,AND: 5.9 > 5,W2023,AMZN,-38.09011969146387
BUY,2024-04-30,175.0,516,3.2652,3.3 < 4.0,W2024,AMZN,
SELL,2024-05-23,181.05,516,11.8801,AND: 11.9 > 10,W2024,AMZN,3.044140703024718
BUY,2024-07-17,187.93,492,3.8251,3.8 < 4.0,W2024,AMZN,
BUY,2020-03-16,4.91,16260,3.5336,3.5 < 4.0,W2020,NVDA,
SELL,2021-08-18,19.04,16260,19.8377,AND: 19.8 > 15,W2021,NVDA,286.2320181634269
BUY,2022-04-22,19.52,13455,-25.092,-25.1 < -24.0,W2022,NVDA,
SELL,2023-05-25,37.98,13455,50.9472,OR: 50.9 > 50,W2023,NVDA,93.7929476682732
BUY,2024-07-30,103.73,4431,1.2668,1.3 < 4.0,W2024,NVDA,
SELL,2024-08-29,117.59,4431,31.2653,AND: 31.3 > 25,W2024,NVDA,12.90907096384759
BUY,2025-03-17,119.53,4243,-9.0989,-9.1 < 4.0,W2025,NVDA,
SELL,2025-09-02,170.78,4243,33.4825,AND: 33.5 > 25,W2025,NVDA,42.30590160910994
BUY,2025-11-18,181.36,3743,2.4259,2.4 < 4.0,W2025,NVDA,
BUY,2020-03-13,170.28,468,-7.6297,-7.6 < 4.0,W2020,META,
SELL,2020-06-26,216.08,468,6.3032,AND: 6.3 > 5,W2020,META,26.3903018854199
BUY,2020-09-21,248.15,389,2.8906,2.9 < 4.0,W2020,META,
SELL,2020-10-06,258.66,389,6.02,AND: 6.0 > 5,W2020,META,3.819232794766653
BUY,2020-10-30,263.11,378,3.2767,3.3 < 4.0,W2020,META,
SELL,2020-11-23,268.43,378,7.9571,AND: 8.0 > 5,W2020,META,1.614695079293646
BUY,2021-10-05,332.96,303,-4.3644,-4.4 < -4.0,W2021,META,
SELL,2023-03-15,197.75,303,39.7836,OR: 39.8 > 25,W2023,META,-40.8455731528832
BUY,2024-07-24,461.27,147,-10.8712,-10.9 < -8.0,W2024,META,
