type,date,price,shares,sentiment,reason,window,symbol,profit_pct
BUY,2021-04-07,223.66,356,9.4116,9.4 < 10,W2021,TSLA,
SELL,2021-12-31,352.26,356,26.9072,AND: 26.9 > 22,W2021,TSLA,56.86925416190164
BUY,2022-03-15,267.3,434,-11.9227,-11.9 < 10,W2022,TSLA,
SELL,2023-09-01,245.01,434,20.47,AND: 20.5 > 17,W2023,TSLA,-8.704857035617183
BUY,2023-10-18,242.68,444,7.8335,7.8 < 10,W2023,TSLA,
SELL,2024-12-11,424.77,444,49.0448,OR: 49.0 > 45,W2024,TSLA,74.33423152692758
BUY,2025-03-17,238.01,722,-11.3256,-11.3 < -5,W2025,TSLA,
BUY,2020-03-20,57.31,1393,-7.0042,-7.0 < -5,W2020,AAPL,
SELL,2020-07-31,106.26,1393,31.709,OR: 31.7 > 30,W2020,AAPL,84.67249835382665
BUY,2021-03-16,125.57,1066,-3.1368,-3.1 < 10,W2021,AAPL,
SELL,2023-09-06,182.91,1066,12.1944,AND: 12.2 > 12,W2023,AAPL,45.0822816660054
BUY,2023-09-12,176.3,1033,8.8573,8.9 < 10,W2023,AAPL,
SELL,2024-08-08,213.31,1033,7.1469,AND: 7.1 > 7,W2024,AAPL,20.509622191542114
BUY,2024-11-12,224.23,945,-0.1455,-0.1 < 0,W2024,AAPL,
SELL,2025-04-01,223.19,945,2.4328,AND: 2.4 > 2,W2025,AAPL,-0.8611591467302961
BUY,2025-04-02,223.89,940,3.3527,3.4 < 5,W2025,AAPL,
SELL,2025-09-30,254.63,940,20.7889,OR: 20.8 > 20,W2025,AAPL,13.275945325163724
BUY,2020-03-13,158.83,502,-0.2961,-0.3 < 0,W2020,MSFT,
SELL,2020-07-20,211.6,502,22.0091,OR: 22.0 > 20,W2020,MSFT,32.692369366102994
BUY,2020-10-29,204.72,491,-0.2495,-0.2 < 0,W2020,MSFT,
SELL,2021-07-08,277.42,491,20.0354,OR: 20.0 > 20,W2021,MSFT,34.970953514748565
BUY,2021-09-09,297.25,433,8.0027,8.0 < 10,W2021,MSFT,
SELL,2021-10-29,331.62,433,21.7059,OR: 21.7 > 20,W2021,MSFT,11.11729822905278
BUY,2021-11-30,330.59,424,8.6618,8.7 < 10,W2021,MSFT,
SELL,2023-05-18,318.52,424,21.3819,OR: 21.4 > 20,W2023,MSFT,-4.035674296606058
BUY,2023-08-04,327.78,414,3.9984,4.0 < 5,W2023,MSFT,
SELL,2025-09-04,507.97,414,7.2584,AND: 7.3 > 7,W2025,MSFT,54.354194176727546
BUY,2025-10-30,525.76,370,4.3956,4.4 < 5,W2025,MSFT,
BUY,2020-03-13,60.71,1315,-4.6815,-4.7 < 0,W2020,GOOGL,
SELL,2020-07-22,78.24,1315,20.9037,OR: 20.9 > 20,W2020,GOOGL,28.360508948065053
BUY,2020-09-17,74.35,1317,-0.3958,-0.4 < 0,W2020,GOOGL,
SELL,2021-04-20,113.95,1317,20.5196,OR: 20.5 > 20,W2021,GOOGL,52.64977839195824
BUY,2021-12-01,141.05,986,-1.3655,-1.4 < 0,W2021,GOOGL,
SELL,2023-05-16,119.51,986,20.0548,OR: 20.1 > 20,W2023,GOOGL,-15.609418895576177
BUY,2023-10-27,122.17,997,-2.2545,-2.3 < 0,W2023,GOOGL,
SELL,2023-11-30,132.53,997,9.6043,AND: 9.6 > 7,W2023,GOOGL,8.046933495750077
BUY,2024-07-25,167.28,775,-4.0936,-4.1 < 0,W2024,GOOGL,
