type,date,price,shares,sentiment,reason,window,symbol,profit_pct
BUY,2020-03-13,36.44,2191,-22.3844,-22.4 < -8.0,W2020,TSLA,
SELL,2020-07-08,91.06,2191,41.1906,OR: 41.2 > 40,W2020,TSLA,148.8926657210076
BUY,2022-03-15,267.3,654,-16.5315,-16.5 < -8.0,W2022,TSLA,
SELL,2023-04-05,185.52,654,5.9772,AND: 6.0 > 5,W2023,TSLA,-30.87190350290885
BUY,2023-10-26,205.76,640,-17.2241,-17.2 < -16.0,W2023,TSLA,
SELL,2023-11-17,234.3,640,5.4524,AND: 5.5 > 5,W2023,TSLA,13.415956255902127
BUY,2025-04-08,221.86,657,-30.0327,-30.0 < -24.0,W2025,TSLA,
BUY,2020-03-13,69.49,1148,-43.3888,-43.4 < -12.0,W2020,AAPL,
SELL,2020-08-03,108.94,1148,30.4067,OR: 30.4 > 30,W2020,AAPL,56.1449276362943
BUY,2021-05-05,128.1,902,-0.1335,-0.1 < 0.0,W2021,AAPL,
SELL,2023-09-06,182.91,902,12.1765,AND: 12.2 > 10,W2023,AAPL,42.216878288839176
BUY,2023-09-22,174.79,885,-1.9162,-1.9 < 0.0,W2023,AAPL,
SELL,2024-09-04,220.85,885,11.1921,AND: 11.2 > 5,W2024,AAPL,25.84722475732549
BUY,2025-03-17,214.0,872,-13.2392,-13.2 < 0.0,W2025,AAPL,
SELL,2025-12-31,271.86,872,13.1548,AND: 13.2 > 10,W2025,AAPL,26.530248421506737
BUY,2020-03-13,158.83,502,-44.6769,-44.7 < -8.0,W2020,MSFT,
SELL,2023-07-27,330.72,502,11.8927,AND: 11.9 > 10,W2023,MSFT,107.39140074082036
BUY,2024-04-18,404.27,366,-4.8795,-4.9 < -4.0,W2024,MSFT,
SELL,2025-09-16,509.04,366,10.7374,AND: 10.7 > 10,W2025,MSFT,25.413190743724414
BUY,2025-10-16,511.61,348,3.8931,3.9 < 4.0,W2025,MSFT,
BUY,2020-03-13,60.71,1315,-47.9659,-48.0 < -4.0,W2020,GOOGL,
SELL,2021-09-28,135.83,1315,6.4799,AND: 6.5 > 5,W2021,GOOGL,122.84263714743963
BUY,2021-10-05,136.02,1163,-0.3642,-0.4 < 0.0,W2021,GOOGL,
SELL,2021-10-22,137.57,1163,11.7405,AND: 11.7 > 5,W2021,GOOGL,0.7357880542261385
BUY,2021-11-29,145.53,1094,-3.4508,-3.5 < 0.0,W2021,GOOGL,
SELL,2021-12-31,144.85,1094,6.846,AND: 6.8 > 5,W2021,GOOGL,-0.8645935105375121
BUY,2022-03-15,129.2,1223,-13.4035,-13.4 < -4.0,W2022,GOOGL,
SELL,2023-07-10,116.45,1223,13.4713,AND: 13.5 > 10,W2023,GOOGL,-10.22822739592808
BUY,2024-08-06,158.29,917,-25.4809,-25.5 < -24.0,W2024,GOOGL,
SELL,2025-09-04,232.3,917,25.3728,OR: 25.4 > 25,W2025,GOOGL,46.17010273302938
BUY,2020-03-13,89.25,894,-45.7638,-45.8 < 4.0,W2020,AMZN,
SELL,2020-07-08,154.06,894,26.0526,OR: 26.1 > 25,W2020,AMZN,71.92716037394054
BUY,2020-10-28,158.14,795,2.8676,2.9 < 4.0,W2020,AMZN,
SELL,2023-04-12,97.83,795,10.0826,AND: 10.1 > 5,W2023,AMZN,-38.38405117768853
BUY,2024-08-06,161.93,538,-23.3789,-23.4 < -20.0,W2024,AMZN,
BUY,2020-03-13,6.02,13262,-38.2913,-38.3 < 4.0,W2020,NVDA,
SELL,2023-05-22,31.18,13262,40.0207,OR: 40.0 > 40,W2023,NVDA,415.87257585279514
BUY,2024-07-30,103.73,3330,-4.1759,-4.2 < -4.0,W2024,NVDA,
SELL,2024-08-29,117.59,3330,22.7108,AND: 22.7 > 20,W2024,NVDA,12.90907096384759
BUY,2025-03-17,119.53,3188,-14.7692,-14.8 < 0.0,W2025,NVDA,
SELL,2025-09-02,170.78,3188,29.2028,AND: 29.2 > 20,W2025,NVDA,42.30590160910994
BUY,2025-10-20,182.64,2792,-0.1679,-0.2 < 0.0,W2025,NVDA,
BUY,2020-03-13,170.28,468,-50.177,-50.2 < -4.0,W2020,META,
SELL,2020-07-22,239.87,468,25.4585,OR: 25.5 > 25,W2020,META,40.3056354741562
BUY,2020-11-02,261.36,403,-5.0054,-5.0 < -4.0,W2020,META,
SELL,2023-03-15,197.75,403,27.7375,OR: 27.7 > 25,W2023,META,-24.640121047535946
BUY,2024-08-06,494.09,171,-25.3975,-25.4 < -24.0,W2024,META,
