type,date,price,shares,sentiment,reason,window,symbol,profit_pct
BUY,2020-03-16,29.67,2690,-14.0007,-14.0 < -12.0,W2020,TSLA,
SELL,2020-07-09,92.95,2690,36.934,OR: 36.9 > 35,W2020,TSLA,212.0287916618987
BUY,2022-03-15,267.3,805,-15.6323,-15.6 < -8.0,W2022,TSLA,
SELL,2022-09-23,275.33,805,8.9668,AND: 9.0 > 5,W2022,TSLA,2.5929215639505454
BUY,2022-10-07,223.07,984,-9.7988,-9.8 < -8.0,W2022,TSLA,
SELL,2023-04-05,185.52,984,5.5618,AND: 5.6 > 5,W2023,TSLA,-17.16528357164806
BUY,2023-10-25,212.42,892,-9.4707,-9.5 < -8.0,W2023,TSLA,
SELL,2023-11-24,235.45,892,5.404,AND: 5.4 > 5,W2023,TSLA,10.39924714168277
BUY,2025-04-09,272.2,754,-26.0923,-26.1 < -24.0,W2025,TSLA,
BUY,2020-03-13,69.49,1148,-35.3048,-35.3 < -8.0,W2020,AAPL,
SELL,2020-08-05,110.06,1148,30.6555,OR: 30.7 > 30,W2020,AAPL,57.750236236924444
BUY,2021-03-16,125.57,929,-0.3194,-0.3 < 0.0,W2021,AAPL,
SELL,2023-08-04,181.99,929,5.5747,AND: 5.6 > 5,W2023,AAPL,44.352547375191726
BUY,2023-08-09,178.19,887,-0.2889,-0.3 < 0.0,W2023,AAPL,
SELL,2023-09-06,182.91,887,9.2184,AND: 9.2 > 5,W2023,AAPL,2.23908248947919
BUY,2023-09-25,176.08,913,-0.4156,-0.4 < 0.0,W2023,AAPL,
SELL,2024-09-04,220.85,913,12.7925,AND: 12.8 > 5,W2024,AAPL,24.92524088671581
BUY,2025-03-17,214.0,901,-11.9854,-12.0 < -4.0,W2025,AAPL,
SELL,2025-12-31,271.86,901,12.5276,AND: 12.5 > 5,W2025,AAPL,26.530248421506737
BUY,2020-03-13,158.83,502,-36.9594,-37.0 < 0.0,W2020,MSFT,
SELL,2023-07-27,330.72,502,13.2851,AND: 13.3 > 10,W2023,MSFT,107.39140074082036
BUY,2023-08-10,322.93,459,3.2008,3.2 < 4.0,W2023,MSFT,
SELL,2025-08-21,504.24,459,5.5969,AND: 5.6 > 5,W2025,MSFT,55.52196075842377
BUY,2025-10-17,513.58,417,3.33,3.3 < 4.0,W2025,MSFT,
SELL,2025-12-26,487.71,417,5.2334,AND: 5.2 > 5,W2025,MSFT,-5.416282597594581
BUY,2020-03-13,60.71,1315,-40.3087,-40.3 < -4.0,W2020,GOOGL,
SELL,2020-09-08,76.18,1315,12.0656,AND: 12.1 > 10,W2020,GOOGL,24.980873870956
BUY,2021-11-30,141.9,675,-1.6474,-1.6 < 0.0,W2021,GOOGL,
SELL,2023-07-10,116.45,675,13.9118,AND: 13.9 > 10,W2023,GOOGL,-18.26276941193735
BUY,2023-10-26,122.28,668,-1.8955,-1.9 < 0.0,W2023,GOOGL,
SELL,2023-11-30,132.53,668,12.5238,AND: 12.5 > 10,W2023,GOOGL,7.949737202942307
BUY,2025-03-17,164.29,529,-11.4012,-11.4 < 4.0,W2025,GOOGL,
SELL,2025-09-05,235.0,529,25.5329,OR: 25.5 > 25,W2025,GOOGL,42.46873040584048
BUY,2020-03-13,89.25,894,-38.835,-38.8 < 4.0,W2020,AMZN,
SELL,2020-07-09,159.13,894,25.4133,OR: 25.4 > 25,W2020,AMZN,77.58515533107331
BUY,2020-10-29,160.55,805,2.2237,2.2 < 4.0,W2020,AMZN,
SELL,2023-04-12,97.83,805,10.0057,AND: 10.0 > 5,W2023,AMZN,-39.308962025784275
BUY,2024-08-06,161.93,547,-17.9274,-17.9 < -16.0,W2024,AMZN,
BUY,2020-03-13,6.02,13262,-29.5182,-29.5 < 0.0,W2020,NVDA,
SELL,2020-08-07,11.2,13262,35.6738,OR: 35.7 > 35,W2020,NVDA,85.3038117239033
BUY,2021-03-16,13.29,10107,-0.4399,-0.4 < 0.0,W2021,NVDA,
SELL,2023-05-26,38.95,10107,41.6326,OR: 41.6 > 40,W2023,NVDA,191.9075329813577
BUY,2025-03-17,119.53,2849,-15.5499,-15.5 < 0.0,W2025,NVDA,
SELL,2025-09-02,170.78,2849,29.9212,AND: 29.9 > 25,W2025,NVDA,42.30590160910994
BUY,2025-11-19,186.52,2443,-0.5686,-0.6 < 0.0,W2025,NVDA,
BUY,2020-03-13,170.28,468,-42.1702,-42.2 < -4.0,W2020,META,
SELL,2020-07-24,230.71,468,23.0648,AND: 23.1 > 15,W2020,META,34.94773485739183
BUY,2021-03-16,279.28,365,-0.6745,-0.7 < 4.0,W2021,META,
SELL,2023-03-16,204.93,365,26.9242,OR: 26.9 > 25,W2023,META,-26.9149538154845
BUY,2024-08-06,494.09,162,-20.7136,-20.7 < -20.0,W2024,META,
