symbol,window,type,date,price,sentiment,reason,profit_pct
TSLA,W2021,BUY,2021-04-29,225.67,3.8068,sentiment 3.8 < 4.0,
TSLA,W2021,SELL,2021-12-31,352.26,26.9072,AND: sentiment 26.9 > 25 & price < MA50,55.472049390042635
TSLA,W2022,BUY,2022-03-15,267.3,-11.9227,sentiment -11.9 < 4.0,
TSLA,W2023,SELL,2023-09-07,251.49,26.3798,AND: sentiment 26.4 > 25 & price < MA50,-9.365687699048792
TSLA,W2023,BUY,2023-10-19,220.11,2.2362,sentiment 2.2 < 4.0,
TSLA,W2024,SELL,2024-12-12,418.1,52.3373,OR: sentiment 52.3 > 50,89.19219471604261
TSLA,W2025,BUY,2025-03-17,238.01,-11.3256,sentiment -11.3 < -8.0,
AAPL,W2020,SELL,2020-09-01,134.18,45.9794,OR: sentiment 46.0 > 45,472.35268450528577
AAPL,W2024,SELL,2024-09-04,220.85,17.979,AND: sentiment 18.0 > 10 & price < MA50,27.91833225943778
AAPL,W2025,SELL,2025-12-31,271.86,11.4822,AND: sentiment 11.5 > 5 & price < MA50,20.757584454365794
MSFT,W2021,SELL,2021-11-04,336.44,25.4483,OR: sentiment 25.4 > 25,60.50240803146679
MSFT,W2021,BUY,2021-12-03,323.01,1.9734,sentiment 2.0 < 4.0,
MSFT,W2023,SELL,2023-05-22,321.18,25.4111,OR: sentiment 25.4 > 25,4.953361414361057
MSFT,W2023,BUY,2023-08-11,321.01,-0.4141,sentiment -0.4 < 0.0,
MSFT,W2025,SELL,2025-09-16,509.04,10.1758,AND: sentiment 10.2 > 10 & price < MA50,57.94146793547076
MSFT,W2025,BUY,2025-11-03,517.03,-0.2789,sentiment -0.3 < 0.0,
GOOGL,W2021,SELL,2021-09-28,135.83,10.2924,AND: sentiment 10.3 > 10 & price < MA50,90.17116251365003
GOOGL,W2023,SELL,2023-07-10,116.45,12.7831,AND: sentiment 12.8 > 10 & price < MA50,-15.351678437847832
GOOGL,W2025,SELL,2025-09-03,230.66,26.5284,OR: sentiment 26.5 > 25,54.54002590862774
AMZN,W2023,SELL,2023-03-28,97.24,5.9055,AND: sentiment 5.9 > 5 & price < MA50,13.689185062418021
NVDA,W2021,BUY,2021-03-16,13.29,-3.1363,sentiment -3.1 < 4.0,
NVDA,W2021,SELL,2021-08-18,19.04,19.8377,AND: sentiment 19.8 > 15 & price < MA50,42.69369519807575
NVDA,W2023,SELL,2023-08-09,42.55,20.7881,AND: sentiment 20.8 > 20 & price < MA50,97.11692972130213
NVDA,W2024,SELL,2024-05-01,83.04,26.4209,AND: sentiment 26.4 > 25 & price < MA50,97.96195147162999
NVDA,W2024,BUY,2024-07-30,103.73,1.2668,sentiment 1.3 < 4.0,
NVDA,W2024,SELL,2024-08-29,117.59,31.2653,AND: sentiment 31.3 > 25 & price < MA50,12.90907096384759
NVDA,W2025,SELL,2025-09-02,170.78,33.4825,AND: sentiment 33.5 > 25 & price < MA50,57.35267732966616
NVDA,W2025,BUY,2025-11-18,181.36,2.4259,sentiment 2.4 < 4.0,
META,W2020,SELL,2020-06-26,216.08,6.3032,AND: sentiment 6.3 > 5 & price < MA50,15.200410047368058
META,W2020,BUY,2020-09-21,248.15,2.8906,sentiment 2.9 < 4.0,
META,W2020,SELL,2020-10-06,258.66,6.02,AND: sentiment 6.0 > 5 & price < MA50,3.819232794766653
META,W2020,BUY,2020-10-30,263.11,3.2767,sentiment 3.3 < 4.0,
META,W2020,SELL,2020-11-23,268.43,7.9571,AND: sentiment 8.0 > 5 & price < MA50,1.614695079293646
META,W2021,BUY,2021-10-05,332.96,-4.3644,sentiment -4.4 < -4.0,
META,W2023,SELL,2023-03-15,197.75,39.7836,OR: sentiment 39.8 > 25,-39.29588250318681
META,W2024,SELL,2024-05-09,475.42,20.0977,AND: sentiment 20.1 > 20 & price < MA50,92.77076928128861
META,W2024,BUY,2024-07-24,461.27,-10.8712,sentiment -10.9 < -8.0,
