type,date,price,shares,sentiment,reason,profit_pct,window,symbol
BUY,2021-04-29,225.67,353,3.8068,sentiment 3.8 < 4.0,0.0,W2021,TSLA
SELL,2021-12-31,352.26,353,26.9072,AND: sentiment 26.9 > 25 & price < MA50,55.472049390042635,W2021,TSLA
BUY,2022-03-15,267.3,430,-11.9227,sentiment -11.9 < 4.0,0.0,W2022,TSLA
SELL,2023-09-01,245.01,430,20.47,AND: sentiment 20.5 > 20 & price < MA50,-8.704857035617183,W2023,TSLA
BUY,2023-10-19,220.11,486,2.2362,sentiment 2.2 < 4.0,0.0,W2023,TSLA
SELL,2024-12-12,418.1,486,52.3373,OR: sentiment 52.3 > 50,89.19219471604261,W2024,TSLA
BUY,2025-03-17,238.01,771,-11.3256,sentiment -11.3 < -8.0,0.0,W2025,TSLA
BUY,2020-03-23,56.09,1423,-9.4121,sentiment -9.4 < -8.0,0.0,W2020,AAPL
SELL,2020-08-04,109.67,1423,36.6291,OR: sentiment 36.6 > 35,94.74451068945012,W2020,AAPL
BUY,2021-03-16,125.57,1117,-3.1368,sentiment -3.1 < 4.0,0.0,W2021,AAPL
SELL,2024-09-04,220.85,1117,17.979,AND: sentiment 18.0 > 10 & price < MA50,75.1758892676031,W2024,AAPL
BUY,2025-03-17,214.0,1049,-7.0589,sentiment -7.1 < 0.0,0.0,W2025,AAPL
SELL,2025-12-31,271.86,1049,11.4822,AND: sentiment 11.5 > 5 & price < MA50,26.530248421506737,W2025,AAPL
BUY,2020-03-20,137.35,581,-5.7834,sentiment -5.8 < -4.0,0.0,W2020,MSFT
SELL,2020-08-07,212.48,581,25.425,OR: sentiment 25.4 > 25,54.0821094238336,W2020,MSFT
BUY,2021-03-16,237.71,481,1.5958,sentiment 1.6 < 4.0,0.0,W2021,MSFT
SELL,2021-11-04,336.44,481,25.4483,OR: sentiment 25.4 > 25,40.96879705864136,W2021,MSFT
BUY,2021-12-03,323.01,470,1.9734,sentiment 2.0 < 4.0,0.0,W2021,MSFT
SELL,2023-05-22,321.18,470,25.4111,OR: sentiment 25.4 > 25,-0.9634854676410811,W2023,MSFT
BUY,2023-08-11,321.01,469,-0.4141,sentiment -0.4 < 0.0,0.0,W2023,MSFT
