type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-18,5.07,3936,19995.450995519994,2.3088,Interval B1: sentiment 2.3 < 3 (enter),1.0,W2020,NVDA,
BUY,2020-03-23,5.32,3751,19995.250595319998,-0.0819,Interval B2: 5d elapsed,2.0,W2020,NVDA,
BUY,2020-03-24,6.23,9613,60008.82786898999,4.5984,Recovery ALL: sentiment 4.6 >= 3,2.0,W2020,NVDA,
SELL,2021-08-18,19.04,17300,328733.545392,19.8377,AND: sentiment 19.8 > 15 & price < MA50,,W2021,NVDA,228.73509222266188
BUY,2022-01-13,26.58,2468,65730.70447943997,4.7096,Interval B1: sentiment 4.7 < 5 (enter),1.0,W2022,NVDA,
BUY,2022-01-18,25.9,2533,65735.97500469998,2.0418,Interval B2: 5d elapsed,2.0,W2022,NVDA,
BUY,2022-01-24,23.37,2807,65730.85477958998,-6.4957,Interval B3: 6d elapsed,3.0,W2022,NVDA,
BUY,2022-01-31,24.49,2679,65739.99302870999,-7.5718,Interval B4: 7d elapsed,4.0,W2022,NVDA,
BUY,2022-02-07,24.73,2653,65739.97298868999,0.7128,Interval B5: 7d elapsed,5.0,W2022,NVDA,
BUY,2022-02-09,26.71,2,53.52689341999999,9.3889,Recovery ALL: sentiment 9.4 >= 5,5.0,W2022,NVDA,
SELL,2023-02-01,20.94,13142,274643.36823348,40.1272,OR: sentiment 40.1 > 40,,W2023,NVDA,-16.45346939288163
BUY,2023-10-05,44.69,1226,54899.57466993999,6.0104,Interval B1: sentiment 6.0 < 7 (enter),1.0,W2023,NVDA,
BUY,2023-10-06,45.76,4792,219720.70312191994,7.441,Recovery ALL: sentiment 7.4 >= 7,1.0,W2023,NVDA,
SELL,2023-10-17,43.94,6018,263902.32259091997,15.0292,AND: sentiment 15.0 > 15 & price < MA50,,W2023,NVDA,-3.902827310175295
BUY,2023-10-23,42.98,1225,52755.85365049999,6.6565,Interval B1: sentiment 6.7 < 7 (enter),1.0,W2023,NVDA,
BUY,2023-10-30,41.16,1279,52748.979923639985,-2.6557,Interval B2: 7d elapsed,2.0,W2023,NVDA,
BUY,2023-11-06,45.75,1151,52763.619158249996,5.6021,Interval B3: 7d elapsed,3.0,W2023,NVDA,
BUY,2023-11-07,45.96,2294,105643.20991223998,8.3574,Recovery ALL: sentiment 8.4 >= 7,3.0,W2023,NVDA,
SELL,2024-05-01,83.04,5949,493017.44408496004,26.4209,AND: sentiment 26.4 > 25 & price < MA50,,W2024,NVDA,86.81154108328751
BUY,2024-07-30,103.73,948,98532.81041603998,1.2668,Interval B1: sentiment 1.3 < 3 (enter),1.0,W2024,NVDA,
BUY,2024-08-05,100.45,979,98537.32944054999,0.5543,Interval B2: 6d elapsed,2.0,W2024,NVDA,
BUY,2024-08-12,109.02,2709,295926.14569517993,3.8534,Recovery ALL: sentiment 3.9 >= 3,2.0,W2024,NVDA,
SELL,2024-08-29,117.59,4636,544057.49066724,31.2653,AND: sentiment 31.3 > 25 & price < MA50,,W2024,NVDA,10.3573204528958
BUY,2025-01-02,138.31,785,108790.60527334997,5.4224,Interval B1: sentiment 5.4 < 10 (enter),1.0,W2025,NVDA,
BUY,2025-01-06,149.43,2907,435262.23041301,10.5792,Recovery ALL: sentiment 10.6 >= 10,1.0,W2025,NVDA,
SELL,2025-09-02,170.78,3692,629259.35099976,33.4825,AND: sentiment 33.5 > 25 & price < MA50,,W2025,NVDA,15.661441265333377
BUY,2025-10-17,183.22,685,125756.83690569997,9.266,Interval B1: sentiment 9.3 < 10 (enter),1.0,W2025,NVDA,
BUY,2025-10-22,180.28,696,125725.95523487998,5.6201,Interval B2: 5d elapsed,2.0,W2025,NVDA,
BUY,2025-10-27,191.49,655,125676.92732594999,8.0883,Interval B3: 5d elapsed,3.0,W2025,NVDA,
BUY,2025-10-28,201.03,1251,251991.75854852994,11.6652,Recovery ALL: sentiment 11.7 >= 10,3.0,W2025,NVDA,
