type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-16,4.91,4065,19999.088259149998,3.5336,Interval B1: sentiment 3.5 < 5 (enter buy mode),1.0,W2020,NVDA,
BUY,2020-03-23,5.32,3751,19995.250595319998,-0.0819,Interval B2: 7d since last buy,2.0,W2020,NVDA,
BUY,2020-03-25,6.14,9753,60003.24672341999,6.1892,Recovery ALL: sentiment 6.2 >= 5 (buy remaining),2.0,W2020,NVDA,
SELL,2021-08-18,19.04,17569,333845.06699376,19.8377,AND: sentiment 19.8 > 15 & price < MA50,,W2021,NVDA,233.85312761748818
BUY,2022-01-13,26.58,2507,66769.39875605998,4.7096,Interval B1: sentiment 4.7 < 5 (enter buy mode),1.0,W2022,NVDA,
BUY,2022-01-20,24.15,2759,66763.17632984999,-2.9152,Interval B2: 7d since last buy,2.0,W2022,NVDA,
BUY,2022-01-27,21.94,3037,66765.11019177998,-8.684,Interval B3: 7d since last buy,3.0,W2022,NVDA,
BUY,2022-02-03,23.95,2782,66762.22442889998,-2.6939,Interval B4: 7d since last buy,4.0,W2022,NVDA,
BUY,2022-02-09,26.71,2495,66774.79954144999,9.3889,Recovery ALL: sentiment 9.4 >= 5 (buy remaining),4.0,W2022,NVDA,
SELL,2023-05-25,37.98,13580,514737.37896839995,50.9472,OR: sentiment 50.9 > 50,,W2023,NVDA,54.18929329662632
BUY,2023-10-25,41.78,2459,102942.59677701998,4.2554,Interval B1: sentiment 4.3 < 5 (enter buy mode),1.0,W2023,NVDA,
BUY,2023-11-01,42.33,2427,102940.48255490996,-0.7075,Interval B2: 7d since last buy,2.0,W2023,NVDA,
BUY,2023-11-06,45.75,6737,308834.49371774995,5.6021,Recovery ALL: sentiment 5.6 >= 5 (buy remaining),2.0,W2023,NVDA,
SELL,2024-05-01,83.04,11623,963244.53733392,26.4209,AND: sentiment 26.4 > 25 & price < MA50,,W2024,NVDA,87.14040238158898
BUY,2024-07-30,103.73,1853,192596.30559168998,1.2668,Interval B1: sentiment 1.3 < 5 (enter buy mode),1.0,W2024,NVDA,
BUY,2024-08-06,104.25,1844,192621.66623699997,0.9589,Interval B2: 7d since last buy,2.0,W2024,NVDA,
BUY,2024-08-13,116.14,4967,578021.6916273799,7.3408,Recovery ALL: sentiment 7.3 >= 5 (buy remaining),2.0,W2024,NVDA,
SELL,2024-08-29,117.59,8664,1016763.1792797599,31.2653,AND: sentiment 31.3 > 25 & price < MA50,,W2024,NVDA,5.556614605304939
BUY,2024-09-10,108.1,1877,203309.71030369995,4.282,Interval B1: sentiment 4.3 < 5 (enter buy mode),1.0,W2024,NVDA,
BUY,2024-09-11,116.91,6944,813447.4979030399,6.9596,Recovery ALL: sentiment 7.0 >= 5 (buy remaining),1.0,W2024,NVDA,
SELL,2025-09-02,170.78,8821,1503438.98569038,33.4825,AND: sentiment 33.5 > 25 & price < MA50,,W2025,NVDA,47.86607594766931
BUY,2025-11-14,190.17,1578,300688.7366082599,4.8269,Interval B1: sentiment 4.8 < 5 (enter buy mode),1.0,W2025,NVDA,
BUY,2025-11-21,178.88,1677,300582.02350176,1.432,Interval B2: 7d since last buy,2.0,W2025,NVDA,
BUY,2025-11-25,177.82,5063,902104.1656226597,5.233,Recovery ALL: sentiment 5.2 >= 5 (buy remaining),2.0,W2025,NVDA,
