symbol,window,train_period,and_threshold,or_threshold,train_return
NVDA,W2020,2016-2019,15,50,573.4
NVDA,W2021,2017-2020,15,50,323.0
NVDA,W2022,2018-2021,25,50,413.6
NVDA,W2023,2019-2022,25,50,327.6
NVDA,W2024,2020-2023,25,60,548.2
NVDA,W2025,2021-2024,25,60,459.2
NVDA,W2026,2022-2025,5,50,381.4
TSLA,W2020,2016-2019,15,50,133.9
TSLA,W2021,2017-2020,25,60,314.2
TSLA,W2022,2018-2021,20,60,549.2
TSLA,W2023,2019-2022,20,60,210.3
TSLA,W2024,2020-2023,25,50,360.2
TSLA,W2025,2021-2024,25,50,244.6
TSLA,W2026,2022-2025,25,60,245.9
AAPL,W2020,2016-2019,15,40,184.5
AAPL,W2021,2017-2020,25,50,270.3
AAPL,W2022,2018-2021,25,50,331.4
AAPL,W2023,2019-2022,15,40,254.1
AAPL,W2024,2020-2023,15,40,179.1
AAPL,W2025,2021-2024,10,30,118.7
AAPL,W2026,2022-2025,5,30,128.9
MSFT,W2020,2016-2019,15,30,179.0
MSFT,W2021,2017-2020,15,30,190.6
MSFT,W2022,2018-2021,15,30,263.8
MSFT,W2023,2019-2022,15,30,98.2
MSFT,W2024,2020-2023,15,30,126.3
MSFT,W2025,2021-2024,15,30,69.1
MSFT,W2026,2022-2025,15,30,59.7
GOOGL,W2020,2016-2019,15,30,97.1
GOOGL,W2021,2017-2020,10,30,110.5
GOOGL,W2022,2018-2021,25,30,179.5
GOOGL,W2023,2019-2022,25,30,67.0
GOOGL,W2024,2020-2023,15,30,96.9
GOOGL,W2025,2021-2024,15,30,58.8
GOOGL,W2026,2022-2025,15,50,127.3
AMZN,W2020,2016-2019,15,40,167.6
AMZN,W2021,2017-2020,25,40,276.9
AMZN,W2022,2018-2021,10,40,92.6
AMZN,W2023,2019-2022,10,40,10.1
AMZN,W2024,2020-2023,10,40,35.1
AMZN,W2025,2021-2024,20,30,38.9
AMZN,W2026,2022-2025,10,30,64.4
META,W2020,2016-2019,15,30,72.5
META,W2021,2017-2020,10,30,115.5
META,W2022,2018-2021,10,30,126.0
META,W2023,2019-2022,10,30,-1.8
META,W2024,2020-2023,15,55,94.5
META,W2025,2021-2024,15,55,128.0
META,W2026,2022-2025,15,55,121.9
