symbol,smoothing,num_windows,profitable_windows,profitable_rate,avg_return,avg_sharpe,avg_drawdown,avg_score,grade,latest_buy,latest_and,latest_or
MSFT,s3,4,4,1.0,23.983884104999994,1.6300898415785472,-8.628172778620957,88.75,A,-5.0,15.0,40.0
AMZN,s3,4,4,1.0,22.69391447999999,1.2276191978686446,-8.126652724187576,83.0,B,10.0,10.0,40.0
GOOGL,s5,4,3,0.75,15.839050740000005,1.231562113248961,-7.771295325310649,75.5,B,-5.0,10.0,40.0
MSFT,s5,4,3,0.75,12.934242884999993,0.9547599627086218,-4.2002980034182755,70.0,B,0.0,20.0,60.0
NVDA,s3,4,3,0.75,20.76678927499999,0.9355813446052985,-21.05852748827964,69.0,C,5.0,10.0,50.0
NVDA,s5,4,3,0.75,38.09863007000001,1.1438503181041602,-23.490651432807276,67.5,C,10.0,25.0,40.0
META,s3,4,3,0.75,13.632637805000012,0.8686732342299004,-16.559225624274678,67.25,C,10.0,10.0,50.0
AMZN,s5,4,3,0.75,20.96278437500001,1.0007829462704048,-12.256346683521645,66.25,C,10.0,10.0,40.0
TSLA,s5,4,3,0.75,56.64765443,1.0626778507543149,-22.99455531918912,60.25,C,-15.0,10.0,35.0
GOOGL,s3,4,2,0.5,17.5288343,0.9033671480317864,-7.778273986061661,57.5,C,-5.0,15.0,50.0
META,s5,4,2,0.5,7.336964420000002,0.39235034427990556,-14.997797201342447,49.5,C,10.0,10.0,60.0
AAPL,s3,4,2,0.5,2.7081667099999978,0.2763293046096352,-3.1204307797834048,49.25,C,-10.0,25.0,50.0
AAPL,s5,4,1,0.25,9.233262355000006,0.32488296349592505,-11.662951016314768,33.5,C,-10.0,15.0,45.0
TSLA,s3,4,1,0.25,1.8835242450000083,0.028258531922982777,-19.672626915203686,26.25,C,-15.0,15.0,50.0
