symbol,buy,and,or,total_return,max_drawdown,sharpe_ratio,final_value
META,-10,15,40,5.959957840000003,-60.17326630831546,0.18242238717525136,105959.95784
META,-10,15,50,11.137855240000032,-60.17326630831546,0.2199824719579972,111137.85524000003
META,-10,15,60,108.47880128000004,-60.17326630831546,0.662427740126556,208478.80128000004
META,-10,15,70,108.47880128000004,-60.17326630831546,0.662427740126556,208478.80128000004
META,-10,20,40,-5.878988999999972,-60.17326630831546,0.09435031611131071,94121.01100000003
META,-10,20,50,-1.2795988799999614,-60.17326630831546,0.13152146676220458,98720.40112000004
META,-10,20,60,83.13485712000006,-60.17326630831546,0.5649660468191859,183134.85712000006
META,-10,20,70,83.13485712000006,-60.17326630831546,0.5649660468191859,183134.85712000006
META,-10,25,40,-5.878988999999972,-60.17326630831546,0.09435031611131071,94121.01100000003
META,-10,25,50,-1.2795988799999614,-60.17326630831546,0.13152146676220458,98720.40112000004
META,-10,25,60,82.08058140000003,-60.17326630831546,0.5537442324766704,182080.58140000002
META,-10,25,70,82.08058140000003,-60.17326630831546,0.5537442324766704,182080.58140000002
META,-10,30,40,-5.878988999999972,-60.17326630831546,0.09435031611131071,94121.01100000003
META,-10,30,50,-1.2795988799999614,-60.17326630831546,0.13152146676220458,98720.40112000004
META,-10,30,60,82.08058140000003,-60.17326630831546,0.5537442324766704,182080.58140000002
META,-10,30,70,82.08058140000003,-60.17326630831546,0.5537442324766704,182080.58140000002
META,-5,15,40,2.6256191999999867,-60.204035191627405,0.15895175081076987,102625.61919999999
META,-5,15,50,7.685727100000003,-60.204035191627405,0.19650045701385505,107685.7271
META,-5,15,60,101.45479360000003,-60.204035191627405,0.6354310919188374,201454.79360000003
META,-5,15,70,101.45479360000003,-60.204035191627405,0.6354310919188374,201454.79360000003
META,-5,20,40,-8.607216119999997,-60.204035191627405,0.07438511612077814,91392.78388
META,-5,20,50,-4.115034379999983,-60.204035191627405,0.1114975926544454,95884.96562000002
META,-5,20,60,77.62420642000004,-60.204035191627405,0.5422673897179363,177624.20642000003
META,-5,20,70,77.62420642000004,-60.204035191627405,0.5422673897179363,177624.20642000003
META,-5,25,40,-8.607216119999997,-60.204035191627405,0.07438511612077814,91392.78388
META,-5,25,50,-4.115034379999983,-60.204035191627405,0.1114975926544454,95884.96562000002
META,-5,25,60,81.50388540000003,-60.204035191627405,0.5500543301345046,181503.88540000003
META,-5,25,70,81.50388540000003,-60.204035191627405,0.5500543301345046,181503.88540000003
META,-5,30,40,-8.607216119999997,-60.204035191627405,0.07438511612077814,91392.78388
META,-5,30,50,-4.115034379999983,-60.204035191627405,0.1114975926544454,95884.96562000002
META,-5,30,60,81.50388540000003,-60.204035191627405,0.5500543301345046,181503.88540000003
META,-5,30,70,81.50388540000003,-60.204035191627405,0.5500543301345046,181503.88540000003
META,0,15,40,70.63285031999999,-64.70828396222454,0.5196357452027819,170632.85032
META,0,15,50,79.17099794000005,-64.70828396222454,0.5517409275324341,179170.99794000006
META,0,15,60,133.02528525999998,-64.70828396222454,0.7118033275095934,233025.28525999998
META,0,15,70,133.02528525999998,-64.70828396222454,0.7118033275095934,233025.28525999998
META,0,20,40,52.36118982,-64.70828396222454,0.4396455429060083,152361.18982
META,0,20,50,59.993896520000035,-64.70828396222454,0.4712292355362219,159993.89652000004
META,0,20,60,107.95908612000001,-64.70828396222454,0.630447743944168,207959.08612
META,0,20,70,107.95908612000001,-64.70828396222454,0.630447743944168,207959.08612
META,0,25,40,52.12368180000002,-64.70828396222454,0.43530503961172046,152123.68180000002
META,0,25,50,59.64083670000001,-64.70828396222454,0.46572149349665004,159640.8367
META,0,25,60,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,0,25,70,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,0,30,40,52.12368180000002,-64.70828396222454,0.43530503961172046,152123.68180000002
META,0,30,50,59.64083670000001,-64.70828396222454,0.46572149349665004,159640.8367
META,0,30,60,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,0,30,70,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,5,15,40,50.357862440000055,-64.70828396222454,0.432326156317402,150357.86244000006
META,5,15,50,57.77314312000003,-64.70828396222454,0.4639844814634162,157773.14312000002
META,5,15,60,96.61108866000001,-64.70828396222454,0.5990343698783505,196611.08866
META,5,15,70,96.61108866000001,-64.70828396222454,0.5990343698783505,196611.08866
META,5,20,40,49.665906619999994,-64.70828396222454,0.4277094573594289,149665.90662
META,5,20,50,57.12354108000005,-64.70828396222454,0.4592185016789097,157123.54108000005
META,5,20,60,95.87409600000002,-64.70828396222454,0.5928267536095336,195874.09600000002
META,5,20,70,95.87409600000002,-64.70828396222454,0.5928267536095336,195874.09600000002
META,5,25,40,58.79020733999999,-64.70828396222454,0.4623147878186999,158790.20734
META,5,25,50,66.82059156000003,-64.70828396222454,0.49316348381170866,166820.59156000003
META,5,25,60,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,5,25,70,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,5,30,40,58.79020733999999,-64.70828396222454,0.4623147878186999,158790.20734
META,5,30,50,66.82059156000003,-64.70828396222454,0.49316348381170866,166820.59156000003
META,5,30,60,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,5,30,70,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,10,15,40,53.019553300000034,-64.70828396222454,0.4418923984991471,153019.55330000003
META,10,15,50,60.689356000000025,-64.70828396222454,0.47343779537182656,160689.35600000003
META,10,15,60,96.96790496000004,-64.70828396222454,0.5988989059424057,196967.90496000004
META,10,15,70,96.96790496000004,-64.70828396222454,0.5988989059424057,196967.90496000004
META,10,20,40,48.332428720000024,-64.70828396222454,0.42037367643034085,148332.42872000003
META,10,20,50,55.86320408000003,-64.70828396222454,0.4519007159680084,155863.20408000002
META,10,20,60,91.22683566000002,-64.70828396222454,0.5768322632772949,191226.83566
META,10,20,70,91.22683566000002,-64.70828396222454,0.5768322632772949,191226.83566
META,10,25,40,61.39893402000004,-64.70828396222454,0.4710916076523452,161398.93402000004
META,10,25,50,69.48553044,-64.70828396222454,0.5013416160313735,169485.53044
META,10,25,60,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,10,25,70,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,10,30,40,61.39893402000004,-64.70828396222454,0.4710916076523452,161398.93402000004
META,10,30,50,69.48553044,-64.70828396222454,0.5013416160313735,169485.53044
META,10,30,60,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
META,10,30,70,107.99540910000005,-64.70828396222454,0.6223637521228642,207995.40910000005
