symbol,buy,and,or,total_return,max_drawdown,sharpe_ratio,final_value
NVDA,-10,15,35,53.38184195999999,-50.71726845863886,0.47063814789229813,153381.84196
NVDA,-10,15,40,145.62130278000006,-50.71726845863886,0.785354951195586,245621.30278000006
NVDA,-10,15,45,165.43333262,-50.71726845863886,0.8253179366555096,265433.33262
NVDA,-10,15,50,165.43333262,-50.71726845863886,0.8253179366555096,265433.33262
NVDA,-10,20,35,53.38184195999999,-50.71726845863886,0.47063814789229813,153381.84196
NVDA,-10,20,40,145.62130278000006,-50.71726845863886,0.785354951195586,245621.30278000006
NVDA,-10,20,45,179.89266636000002,-50.71726845863886,0.8523599802960994,279892.66636000003
NVDA,-10,20,50,179.89266636000002,-50.71726845863886,0.8523599802960994,279892.66636000003
NVDA,-10,25,35,46.86829590000003,-50.71726845863886,0.41741687936067434,146868.29590000003
NVDA,-10,25,40,135.20630760000006,-50.71726845863886,0.7079186629468279,235206.30760000006
NVDA,-10,25,45,517.5658874,-50.71726845863886,1.1269034665407895,617565.8874
NVDA,-10,25,50,517.5658874,-50.71726845863886,1.1269034665407895,617565.8874
NVDA,-10,30,35,58.58765022000001,-50.71726845863886,0.46617911935999906,158587.65022
NVDA,-10,30,40,153.96982536000002,-50.71726845863886,0.7455110944802495,253969.82536000002
NVDA,-10,30,45,572.56997876,-50.71726845863886,1.1539262344003947,672569.97876
NVDA,-10,30,50,572.56997876,-50.71726845863886,1.1539262344003947,672569.97876
NVDA,-5,15,35,48.659208700000015,-50.49646940349781,0.44569077939787916,148659.20870000002
NVDA,-5,15,40,137.64587250000005,-50.49646940349781,0.7618944830949294,237645.87250000006
NVDA,-5,15,45,156.76064162,-50.49646940349781,0.8024530723896298,256760.64162
NVDA,-5,15,50,156.76064162,-50.49646940349781,0.8024530723896298,256760.64162
NVDA,-5,20,35,48.659208700000015,-50.49646940349781,0.44569077939787916,148659.20870000002
NVDA,-5,20,40,137.64587250000005,-50.49646940349781,0.7618944830949294,237645.87250000006
