symbol,smoothing,avg_return,avg_sharpe,avg_dd,profit_rate,old_avg_score,new_avg_score,score_diff,old_rank,new_rank,rank_change,old_grade,new_grade
TSLA,s5,56.64765443,1.0626778507543149,-22.994555319189118,0.75,60.25,47.69003379932282,-12.55996620067718,9.0,1.0,8.0,C,C
NVDA,s5,38.09863007000001,1.1438503181041602,-23.490651432807272,0.75,67.5,44.12699350853394,-23.373006491466057,6.0,2.0,4.0,C,C
MSFT,s3,23.983884104999994,1.630089841578547,-8.628172778620957,1.0,88.75,38.02484078526368,-50.72515921473632,1.0,3.0,-2.0,A,C
NVDA,s3,20.76678927499999,0.9355813446052985,-21.058527488279644,0.75,69.0,37.47777501811764,-31.52222498188236,5.0,4.0,1.0,C,C
AMZN,s3,22.69391447999999,1.2276191978686448,-8.126652724187576,1.0,83.0,34.55459232167328,-48.44540767832672,2.0,5.0,-3.0,B,C
AMZN,s5,20.96278437500001,1.0007829462704048,-12.256346683521645,0.75,66.25,34.245389186798235,-32.004610813201765,8.0,6.0,2.0,C,C
META,s3,13.632637805000012,0.8686732342299004,-16.559225624274678,0.75,67.25,33.38581185044478,-33.86418814955522,7.0,7.0,0.0,C,C
GOOGL,s5,15.839050740000005,1.231562113248961,-7.771295325310649,0.75,75.5,32.81681809596085,-42.68318190403915,3.0,8.0,-5.0,B,C
GOOGL,s3,17.5288343,0.9033671480317864,-7.778273986061661,0.5,57.5,30.81048051431564,-26.68951948568436,10.0,9.0,1.0,C,C
MSFT,s5,12.934242884999993,0.9547599627086217,-4.2002980034182755,0.75,70.0,28.57785715175732,-41.42214284824268,4.0,10.0,-6.0,B,C
META,s5,7.336964420000002,0.39235034427990556,-14.997797201342447,0.5,49.5,27.742092103728112,-21.757907896271888,11.0,11.0,0.0,C,C
AAPL,s5,9.233262355000006,0.32488296349592505,-11.662951016314768,0.25,33.5,26.27062799168185,-7.229372008318151,13.0,12.0,1.0,C,C
TSLA,s3,1.8835242450000083,0.028258531922982777,-19.672626915203686,0.25,26.25,25.781747661712508,-0.4682523382874919,14.0,13.0,1.0,C,C
AAPL,s3,2.7081667099999978,0.2763293046096352,-3.1204307797834048,0.5,49.25,20.731119136527575,-28.518880863472425,12.0,14.0,-2.0,C,C
